Process ID: [2339268] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-7b
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./sft2/sinstruct_sharegpt
    save_dir: ./fact/sinstruct_sharegpt
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2339268] | Loading data from ./sft2/sinstruct_sharegpt/Bio-Medical.json | Total 200
Process ID: [2339268] | Loading exist data from ./fact/sinstruct_sharegpt/Bio-Medical.json | Total 0
   0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2339268] | Model: llama-7b | File: Bio-Medical | Saving 0 items to ./fact/sinstruct_sharegpt/Bio-Medical.json
   0%|▎                                                              | 1/200 [00:09<32:33,  9.81s/it]   1%|▋                                                              | 2/200 [00:17<28:46,  8.72s/it]Process ID: [2339268] | Model: llama-7b | File: Bio-Medical | Saving 2 items to ./fact/sinstruct_sharegpt/Bio-Medical.json
  4%|██▊                                                            | 9/200 [01:06<23:52,  7.50s/it]  5%|███                                                           | 10/200 [01:14<24:15,  7.66s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 10 items to ./fact/sinstruct_sharegpt/Finance.json
  6%|███▍                                                          | 11/200 [01:24<26:42,  8.48s/it]  6%|███▋                                                          | 12/200 [01:32<26:08,  8.34s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 12 items to ./fact/sinstruct_sharegpt/Finance.json
  6%|████                                                          | 13/200 [01:38<23:48,  7.64s/it]  7%|████▎                                                         | 14/200 [01:45<22:25,  7.23s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 14 items to ./fact/sinstruct_sharegpt/Finance.json
  8%|████▋                                                         | 15/200 [01:51<22:03,  7.15s/it]  8%|████▉                                                         | 16/200 [02:02<24:42,  8.06s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 16 items to ./fact/sinstruct_sharegpt/Finance.json
  8%|█████▎                                                        | 17/200 [02:15<29:35,  9.70s/it]  9%|█████▌                                                        | 18/200 [02:26<30:09,  9.94s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 18 items to ./fact/sinstruct_sharegpt/Finance.json
 10%|█████▉                                                        | 19/200 [02:35<29:18,  9.71s/it] 10%|██████▏                                                       | 20/200 [02:44<28:21,  9.45s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 20 items to ./fact/sinstruct_sharegpt/Finance.json
 10%|██████▌                                                       | 21/200 [02:52<27:12,  9.12s/it] 11%|██████▊                                                       | 22/200 [02:59<25:12,  8.50s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 22 items to ./fact/sinstruct_sharegpt/Finance.json
 12%|███████▏                                                      | 23/200 [03:11<27:51,  9.44s/it] 12%|███████▍                                                      | 24/200 [03:22<29:41, 10.12s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 24 items to ./fact/sinstruct_sharegpt/Finance.json
 12%|███████▊                                                      | 25/200 [03:32<29:16, 10.03s/it] 13%|████████                                                      | 26/200 [03:33<21:25,  7.39s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 26 items to ./fact/sinstruct_sharegpt/Finance.json
 14%|████████▎                                                     | 27/200 [03:41<21:39,  7.51s/it] 14%|████████▋                                                     | 28/200 [03:52<24:20,  8.49s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 28 items to ./fact/sinstruct_sharegpt/Finance.json
 14%|████████▉                                                     | 29/200 [04:02<25:14,  8.86s/it] 15%|█████████▎                                                    | 30/200 [04:09<23:30,  8.30s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 30 items to ./fact/sinstruct_sharegpt/Finance.json
 16%|█████████▌                                                    | 31/200 [04:16<22:04,  7.84s/it] 16%|█████████▉                                                    | 32/200 [04:25<23:43,  8.47s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 32 items to ./fact/sinstruct_sharegpt/Finance.json
 16%|██████████▏                                                   | 33/200 [04:33<22:23,  8.05s/it] 17%|██████████▌                                                   | 34/200 [04:44<24:49,  8.97s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 34 items to ./fact/sinstruct_sharegpt/Finance.json
 18%|██████████▊                                                   | 35/200 [04:52<23:47,  8.65s/it] 18%|███████████▏                                                  | 36/200 [04:59<23:03,  8.43s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 36 items to ./fact/sinstruct_sharegpt/Finance.json
 18%|███████████▍                                                  | 37/200 [05:07<22:19,  8.21s/it] 19%|███████████▊                                                  | 38/200 [05:14<21:09,  7.84s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 38 items to ./fact/sinstruct_sharegpt/Finance.json
 20%|████████████                                                  | 39/200 [05:27<24:57,  9.30s/it] 20%|████████████▍                                                 | 40/200 [05:40<28:06, 10.54s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 40 items to ./fact/sinstruct_sharegpt/Finance.json
 20%|████████████▋                                                 | 41/200 [05:56<32:04, 12.10s/it] 21%|█████████████                                                 | 42/200 [06:05<29:41, 11.28s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 42 items to ./fact/sinstruct_sharegpt/Finance.json
 22%|█████████████▎                                                | 43/200 [06:07<21:31,  8.23s/it] 22%|█████████████▋                                                | 44/200 [06:13<20:22,  7.84s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 44 items to ./fact/sinstruct_sharegpt/Finance.json
 22%|█████████████▉                                                | 45/200 [06:20<18:52,  7.31s/it] 23%|██████████████▎                                               | 46/200 [06:25<17:15,  6.73s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 46 items to ./fact/sinstruct_sharegpt/Finance.json
 24%|██████████████▌                                               | 47/200 [06:29<15:28,  6.07s/it] 24%|██████████████▉                                               | 48/200 [06:37<16:33,  6.54s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 48 items to ./fact/sinstruct_sharegpt/Finance.json
 24%|███████████████▏                                              | 49/200 [06:44<16:31,  6.57s/it] 25%|███████████████▌                                              | 50/200 [06:55<20:08,  8.06s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 50 items to ./fact/sinstruct_sharegpt/Finance.json
 26%|███████████████▊                                              | 51/200 [07:05<21:20,  8.59s/it] 26%|████████████████                                              | 52/200 [07:21<26:35, 10.78s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 52 items to ./fact/sinstruct_sharegpt/Finance.json
 26%|████████████████▍                                             | 53/200 [07:23<20:02,  8.18s/it] 27%|████████████████▋                                             | 54/200 [07:30<18:45,  7.71s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 54 items to ./fact/sinstruct_sharegpt/Finance.json
 28%|█████████████████                                             | 55/200 [07:35<17:05,  7.07s/it] 28%|█████████████████▎                                            | 56/200 [07:38<14:03,  5.86s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 56 items to ./fact/sinstruct_sharegpt/Finance.json
 28%|█████████████████▋                                            | 57/200 [07:47<15:54,  6.68s/it] 29%|█████████████████▉                                            | 58/200 [07:55<16:32,  6.99s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 58 items to ./fact/sinstruct_sharegpt/Finance.json
 30%|██████████████████▎                                           | 59/200 [08:05<19:03,  8.11s/it] 30%|██████████████████▌                                           | 60/200 [08:10<16:38,  7.13s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 60 items to ./fact/sinstruct_sharegpt/Finance.json
 30%|██████████████████▉                                           | 61/200 [08:18<16:45,  7.24s/it] 31%|███████████████████▏                                          | 62/200 [08:25<16:24,  7.13s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 62 items to ./fact/sinstruct_sharegpt/Finance.json
 32%|███████████████████▌                                          | 63/200 [08:28<13:54,  6.09s/it] 32%|███████████████████▊                                          | 64/200 [08:29<10:24,  4.59s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 64 items to ./fact/sinstruct_sharegpt/Finance.json
 32%|████████████████████▏                                         | 65/200 [08:42<15:48,  7.03s/it] 33%|████████████████████▍                                         | 66/200 [08:48<14:47,  6.63s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 66 items to ./fact/sinstruct_sharegpt/Finance.json
 34%|████████████████████▊                                         | 67/200 [08:55<15:11,  6.86s/it] 34%|█████████████████████                                         | 68/200 [08:56<11:11,  5.09s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 68 items to ./fact/sinstruct_sharegpt/Finance.json
 34%|█████████████████████▍                                        | 69/200 [09:01<10:55,  5.00s/it] 35%|█████████████████████▋                                        | 70/200 [09:11<14:18,  6.60s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 70 items to ./fact/sinstruct_sharegpt/Finance.json
 36%|██████████████████████                                        | 71/200 [09:12<10:28,  4.87s/it] 36%|██████████████████████▎                                       | 72/200 [09:20<12:15,  5.74s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 72 items to ./fact/sinstruct_sharegpt/Finance.json
 36%|██████████████████████▋                                       | 73/200 [09:28<13:45,  6.50s/it] 37%|██████████████████████▉                                       | 74/200 [09:36<14:26,  6.88s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 74 items to ./fact/sinstruct_sharegpt/Finance.json
 38%|███████████████████████▎                                      | 75/200 [09:40<12:20,  5.93s/it] 38%|███████████████████████▌                                      | 76/200 [09:40<09:09,  4.43s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 76 items to ./fact/sinstruct_sharegpt/Finance.json
 38%|███████████████████████▊                                      | 77/200 [09:51<12:39,  6.18s/it] 39%|████████████████████████▏                                     | 78/200 [10:01<15:00,  7.38s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 78 items to ./fact/sinstruct_sharegpt/Finance.json
 40%|████████████████████████▍                                     | 79/200 [10:10<15:50,  7.86s/it] 40%|████████████████████████▊                                     | 80/200 [10:17<15:15,  7.63s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 80 items to ./fact/sinstruct_sharegpt/Finance.json
 40%|█████████████████████████                                     | 81/200 [10:18<11:06,  5.60s/it] 41%|█████████████████████████▍                                    | 82/200 [10:19<08:08,  4.14s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 82 items to ./fact/sinstruct_sharegpt/Finance.json
 42%|█████████████████████████▋                                    | 83/200 [10:29<11:35,  5.94s/it] 42%|██████████████████████████                                    | 84/200 [10:39<14:16,  7.39s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 84 items to ./fact/sinstruct_sharegpt/Finance.json
 42%|██████████████████████████▎                                   | 85/200 [10:46<13:25,  7.00s/it] 43%|██████████████████████████▋                                   | 86/200 [10:55<14:42,  7.74s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 86 items to ./fact/sinstruct_sharegpt/Finance.json
 44%|██████████████████████████▉                                   | 87/200 [10:57<11:31,  6.12s/it] 44%|███████████████████████████▎                                  | 88/200 [11:08<13:48,  7.40s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 88 items to ./fact/sinstruct_sharegpt/Finance.json
 44%|███████████████████████████▌                                  | 89/200 [11:17<14:49,  8.01s/it] 45%|███████████████████████████▉                                  | 90/200 [11:22<12:40,  6.91s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 90 items to ./fact/sinstruct_sharegpt/Finance.json
 46%|████████████████████████████▏                                 | 91/200 [11:29<12:43,  7.01s/it] 46%|████████████████████████████▌                                 | 92/200 [11:36<12:50,  7.14s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 92 items to ./fact/sinstruct_sharegpt/Finance.json
 46%|████████████████████████████▊                                 | 93/200 [11:45<13:43,  7.70s/it] 47%|█████████████████████████████▏                                | 94/200 [11:54<14:05,  7.97s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 94 items to ./fact/sinstruct_sharegpt/Finance.json
 48%|█████████████████████████████▍                                | 95/200 [12:01<13:41,  7.83s/it] 48%|█████████████████████████████▊                                | 96/200 [12:15<16:32,  9.55s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 96 items to ./fact/sinstruct_sharegpt/Finance.json
 48%|██████████████████████████████                                | 97/200 [12:16<12:07,  7.07s/it] 49%|██████████████████████████████▍                               | 98/200 [12:23<11:47,  6.94s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 98 items to ./fact/sinstruct_sharegpt/Finance.json
 50%|██████████████████████████████▋                               | 99/200 [12:29<11:12,  6.66s/it] 50%|██████████████████████████████▌                              | 100/200 [12:36<11:33,  6.94s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 100 items to ./fact/sinstruct_sharegpt/Finance.json
 50%|██████████████████████████████▊                              | 101/200 [12:47<13:19,  8.08s/it] 51%|███████████████████████████████                              | 102/200 [12:48<09:48,  6.01s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 102 items to ./fact/sinstruct_sharegpt/Finance.json
 52%|███████████████████████████████▍                             | 103/200 [13:01<13:03,  8.08s/it] 52%|███████████████████████████████▋                             | 104/200 [13:09<12:44,  7.97s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 104 items to ./fact/sinstruct_sharegpt/Finance.json
 52%|████████████████████████████████                             | 105/200 [13:17<12:43,  8.03s/it] 53%|████████████████████████████████▎                            | 106/200 [13:22<10:52,  6.95s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 106 items to ./fact/sinstruct_sharegpt/Finance.json
 54%|████████████████████████████████▋                            | 107/200 [13:26<09:35,  6.19s/it] 54%|████████████████████████████████▉                            | 108/200 [13:32<09:30,  6.20s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 108 items to ./fact/sinstruct_sharegpt/Finance.json
 55%|█████████████████████████████████▏                           | 109/200 [13:39<09:28,  6.25s/it] 55%|█████████████████████████████████▌                           | 110/200 [13:43<08:40,  5.78s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 110 items to ./fact/sinstruct_sharegpt/Finance.json
 56%|█████████████████████████████████▊                           | 111/200 [13:53<10:20,  6.97s/it] 56%|██████████████████████████████████▏                          | 112/200 [14:04<11:48,  8.05s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 112 items to ./fact/sinstruct_sharegpt/Finance.json
 56%|██████████████████████████████████▍                          | 113/200 [14:11<11:35,  7.99s/it] 57%|██████████████████████████████████▊                          | 114/200 [14:13<08:31,  5.95s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 114 items to ./fact/sinstruct_sharegpt/Finance.json
 57%|███████████████████████████████████                          | 115/200 [14:20<09:03,  6.40s/it] 58%|███████████████████████████████████▍                         | 116/200 [14:24<07:57,  5.69s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 116 items to ./fact/sinstruct_sharegpt/Finance.json
 58%|███████████████████████████████████▋                         | 117/200 [14:32<08:59,  6.50s/it] 59%|███████████████████████████████████▉                         | 118/200 [14:50<13:22,  9.79s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 118 items to ./fact/sinstruct_sharegpt/Finance.json
 60%|████████████████████████████████████▎                        | 119/200 [14:51<09:48,  7.26s/it] 60%|████████████████████████████████████▌                        | 120/200 [14:57<09:13,  6.91s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 120 items to ./fact/sinstruct_sharegpt/Finance.json
 60%|████████████████████████████████████▉                        | 121/200 [15:02<08:11,  6.22s/it] 61%|█████████████████████████████████████▏                       | 122/200 [15:08<08:10,  6.29s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 122 items to ./fact/sinstruct_sharegpt/Finance.json
 62%|█████████████████████████████████████▌                       | 123/200 [15:15<08:02,  6.27s/it] 62%|█████████████████████████████████████▊                       | 124/200 [15:21<07:50,  6.20s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 124 items to ./fact/sinstruct_sharegpt/Finance.json
 62%|██████████████████████████████████████▏                      | 125/200 [15:27<07:42,  6.16s/it] 63%|██████████████████████████████████████▍                      | 126/200 [15:31<06:57,  5.65s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 126 items to ./fact/sinstruct_sharegpt/Finance.json
 64%|██████████████████████████████████████▋                      | 127/200 [15:48<10:48,  8.88s/it] 64%|███████████████████████████████████████                      | 128/200 [15:53<09:31,  7.94s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 128 items to ./fact/sinstruct_sharegpt/Finance.json
 64%|███████████████████████████████████████▎                     | 129/200 [16:04<10:20,  8.74s/it] 65%|███████████████████████████████████████▋                     | 130/200 [16:11<09:36,  8.24s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 130 items to ./fact/sinstruct_sharegpt/Finance.json
 66%|███████████████████████████████████████▉                     | 131/200 [16:14<07:39,  6.66s/it] 66%|████████████████████████████████████████▎                    | 132/200 [16:21<07:40,  6.77s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 132 items to ./fact/sinstruct_sharegpt/Finance.json
 66%|████████████████████████████████████████▌                    | 133/200 [16:31<08:27,  7.57s/it] 67%|████████████████████████████████████████▊                    | 134/200 [16:37<08:05,  7.35s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 134 items to ./fact/sinstruct_sharegpt/Finance.json
 68%|█████████████████████████████████████████▏                   | 135/200 [16:53<10:34,  9.76s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [16:59<09:15,  8.68s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 136 items to ./fact/sinstruct_sharegpt/Finance.json
 68%|█████████████████████████████████████████▊                   | 137/200 [17:07<08:55,  8.51s/it] 69%|██████████████████████████████████████████                   | 138/200 [17:15<08:47,  8.50s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 138 items to ./fact/sinstruct_sharegpt/Finance.json
 70%|██████████████████████████████████████████▍                  | 139/200 [17:22<07:53,  7.77s/it] 70%|██████████████████████████████████████████▋                  | 140/200 [17:39<10:47, 10.79s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 140 items to ./fact/sinstruct_sharegpt/Finance.json
 70%|███████████████████████████████████████████                  | 141/200 [17:45<09:01,  9.18s/it] 71%|███████████████████████████████████████████▎                 | 142/200 [17:51<08:02,  8.31s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 142 items to ./fact/sinstruct_sharegpt/Finance.json
 72%|███████████████████████████████████████████▌                 | 143/200 [17:53<06:01,  6.34s/it] 72%|███████████████████████████████████████████▉                 | 144/200 [18:02<06:36,  7.08s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 144 items to ./fact/sinstruct_sharegpt/Finance.json
 72%|████████████████████████████████████████████▏                | 145/200 [18:10<06:46,  7.40s/it] 73%|████████████████████████████████████████████▌                | 146/200 [18:19<07:07,  7.91s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 146 items to ./fact/sinstruct_sharegpt/Finance.json
 74%|████████████████████████████████████████████▊                | 147/200 [18:27<06:59,  7.92s/it] 74%|█████████████████████████████████████████████▏               | 148/200 [18:34<06:33,  7.57s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 148 items to ./fact/sinstruct_sharegpt/Finance.json
 74%|█████████████████████████████████████████████▍               | 149/200 [18:43<06:48,  8.00s/it] 75%|█████████████████████████████████████████████▊               | 150/200 [18:50<06:25,  7.72s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 150 items to ./fact/sinstruct_sharegpt/Finance.json
 76%|██████████████████████████████████████████████               | 151/200 [18:57<06:10,  7.56s/it] 76%|██████████████████████████████████████████████▎              | 152/200 [19:03<05:40,  7.09s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 152 items to ./fact/sinstruct_sharegpt/Finance.json
 76%|██████████████████████████████████████████████▋              | 153/200 [19:10<05:32,  7.07s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [19:19<05:49,  7.60s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 154 items to ./fact/sinstruct_sharegpt/Finance.json
 78%|███████████████████████████████████████████████▎             | 155/200 [19:25<05:25,  7.24s/it] 78%|███████████████████████████████████████████████▌             | 156/200 [19:36<06:02,  8.24s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 156 items to ./fact/sinstruct_sharegpt/Finance.json
 78%|███████████████████████████████████████████████▉             | 157/200 [19:44<05:51,  8.18s/it] 79%|████████████████████████████████████████████████▏            | 158/200 [19:50<05:17,  7.56s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 158 items to ./fact/sinstruct_sharegpt/Finance.json
 80%|████████████████████████████████████████████████▍            | 159/200 [19:51<03:45,  5.50s/it] 80%|████████████████████████████████████████████████▊            | 160/200 [20:08<05:58,  8.97s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 160 items to ./fact/sinstruct_sharegpt/Finance.json
 80%|█████████████████████████████████████████████████            | 161/200 [20:09<04:17,  6.61s/it] 81%|█████████████████████████████████████████████████▍           | 162/200 [20:13<03:41,  5.84s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 162 items to ./fact/sinstruct_sharegpt/Finance.json
 82%|█████████████████████████████████████████████████▋           | 163/200 [20:20<03:47,  6.15s/it] 82%|██████████████████████████████████████████████████           | 164/200 [20:26<03:44,  6.25s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 164 items to ./fact/sinstruct_sharegpt/Finance.json
 82%|██████████████████████████████████████████████████▎          | 165/200 [20:32<03:33,  6.09s/it] 83%|██████████████████████████████████████████████████▋          | 166/200 [20:40<03:48,  6.73s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 166 items to ./fact/sinstruct_sharegpt/Finance.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [20:50<04:11,  7.61s/it] 84%|███████████████████████████████████████████████████▏         | 168/200 [21:00<04:26,  8.33s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 168 items to ./fact/sinstruct_sharegpt/Finance.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [21:10<04:33,  8.82s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [21:17<04:06,  8.22s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 170 items to ./fact/sinstruct_sharegpt/Finance.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [21:28<04:24,  9.12s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [21:36<04:12,  9.00s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 172 items to ./fact/sinstruct_sharegpt/Finance.json
 86%|████████████████████████████████████████████████████▊        | 173/200 [21:43<03:44,  8.32s/it] 87%|█████████████████████████████████████████████████████        | 174/200 [21:54<03:52,  8.95s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 174 items to ./fact/sinstruct_sharegpt/Finance.json
 88%|█████████████████████████████████████████████████████▍       | 175/200 [22:01<03:34,  8.57s/it] 88%|█████████████████████████████████████████████████████▋       | 176/200 [22:06<03:00,  7.54s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 176 items to ./fact/sinstruct_sharegpt/Finance.json
 88%|█████████████████████████████████████████████████████▉       | 177/200 [22:08<02:10,  5.67s/it] 89%|██████████████████████████████████████████████████████▎      | 178/200 [22:12<01:55,  5.25s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 178 items to ./fact/sinstruct_sharegpt/Finance.json
 90%|██████████████████████████████████████████████████████▌      | 179/200 [22:18<01:58,  5.62s/it] 90%|██████████████████████████████████████████████████████▉      | 180/200 [22:20<01:24,  4.24s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 180 items to ./fact/sinstruct_sharegpt/Finance.json
 90%|███████████████████████████████████████████████████████▏     | 181/200 [22:20<01:01,  3.23s/it] 91%|███████████████████████████████████████████████████████▌     | 182/200 [22:25<01:03,  3.55s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 182 items to ./fact/sinstruct_sharegpt/Finance.json
 92%|███████████████████████████████████████████████████████▊     | 183/200 [22:32<01:18,  4.62s/it] 92%|████████████████████████████████████████████████████████     | 184/200 [22:39<01:24,  5.29s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 184 items to ./fact/sinstruct_sharegpt/Finance.json
 92%|████████████████████████████████████████████████████████▍    | 185/200 [22:48<01:37,  6.47s/it] 93%|████████████████████████████████████████████████████████▋    | 186/200 [23:00<01:52,  8.05s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 186 items to ./fact/sinstruct_sharegpt/Finance.json
 94%|█████████████████████████████████████████████████████████    | 187/200 [23:06<01:39,  7.64s/it] 94%|█████████████████████████████████████████████████████████▎   | 188/200 [23:15<01:36,  8.05s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 188 items to ./fact/sinstruct_sharegpt/Finance.json
 94%|█████████████████████████████████████████████████████████▋   | 189/200 [23:26<01:35,  8.72s/it] 95%|█████████████████████████████████████████████████████████▉   | 190/200 [23:33<01:23,  8.33s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 190 items to ./fact/sinstruct_sharegpt/Finance.json
 96%|██████████████████████████████████████████████████████████▎  | 191/200 [23:34<00:54,  6.06s/it] 96%|██████████████████████████████████████████████████████████▌  | 192/200 [23:46<01:02,  7.81s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 192 items to ./fact/sinstruct_sharegpt/Finance.json
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [24:03<01:13, 10.56s/it] 97%|███████████████████████████████████████████████████████████▏ | 194/200 [24:04<00:45,  7.65s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 194 items to ./fact/sinstruct_sharegpt/Finance.json
 98%|███████████████████████████████████████████████████████████▍ | 195/200 [24:13<00:41,  8.24s/it] 98%|███████████████████████████████████████████████████████████▊ | 196/200 [24:18<00:28,  7.19s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 196 items to ./fact/sinstruct_sharegpt/Finance.json
 98%|████████████████████████████████████████████████████████████ | 197/200 [24:21<00:17,  5.99s/it] 99%|████████████████████████████████████████████████████████████▍| 198/200 [24:33<00:15,  7.73s/it]Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 198 items to ./fact/sinstruct_sharegpt/Finance.json
100%|████████████████████████████████████████████████████████████▋| 199/200 [24:41<00:07,  7.79s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [24:50<00:00,  8.17s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [24:50<00:00,  7.45s/it]
Process ID: [2339268] | Model: llama-7b | File: Finance | Saving 200 items to ./fact/sinstruct_sharegpt/Finance.json
Process ID: [2339268] | Exit
Process ID: [2339268] | Loading data from ./sft2/sinstruct_sharegpt/Science.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 0 items to ./fact/sinstruct_sharegpt/Science.json
  0%|▎                                                              | 1/200 [00:00<02:29,  1.33it/s]  1%|▋                                                              | 2/200 [00:09<17:25,  5.28s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 2 items to ./fact/sinstruct_sharegpt/Science.json
  2%|▉                                                              | 3/200 [00:14<17:33,  5.35s/it]  2%|█▎                                                             | 4/200 [00:25<24:41,  7.56s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 4 items to ./fact/sinstruct_sharegpt/Science.json
