Process ID: [2339266] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-7b
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./sft2/sharegpt
    save_dir: ./fact/sharegpt
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2339266] | Loading data from ./sft2/sharegpt/Bio-Medical.json | Total 200
Process ID: [2339266] | Loading exist data from ./fact/sharegpt/Bio-Medical.json | Total 0
   0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 0 items to ./fact/sharegpt/Bio-Medical.json
   0%|▎                                                              | 1/200 [00:09<29:58,  9.04s/it]   1%|▋                                                              | 2/200 [00:22<38:17, 11.60s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 2 items to ./fact/sharegpt/Bio-Medical.json
  4%|██▏                                                            | 7/200 [00:50<22:39,  7.04s/it]  4%|██▌                                                            | 8/200 [00:56<21:31,  6.73s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 8 items to ./fact/sharegpt/Finance.json
  4%|██▊                                                            | 9/200 [01:02<20:58,  6.59s/it]  5%|███                                                           | 10/200 [01:09<20:42,  6.54s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 10 items to ./fact/sharegpt/Finance.json
  6%|███▍                                                          | 11/200 [01:15<20:28,  6.50s/it]  6%|███▋                                                          | 12/200 [01:25<24:04,  7.68s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 12 items to ./fact/sharegpt/Finance.json
  6%|████                                                          | 13/200 [01:31<22:08,  7.10s/it]  7%|████▎                                                         | 14/200 [01:37<21:07,  6.81s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 14 items to ./fact/sharegpt/Finance.json
  8%|████▋                                                         | 15/200 [01:48<24:12,  7.85s/it]  8%|████▉                                                         | 16/200 [01:52<21:11,  6.91s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 16 items to ./fact/sharegpt/Finance.json
  8%|█████▎                                                        | 17/200 [02:00<21:33,  7.07s/it]  9%|█████▌                                                        | 18/200 [02:08<22:55,  7.56s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 18 items to ./fact/sharegpt/Finance.json
 10%|█████▉                                                        | 19/200 [02:22<27:45,  9.20s/it] 10%|██████▏                                                       | 20/200 [02:29<26:22,  8.79s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 20 items to ./fact/sharegpt/Finance.json
 10%|██████▌                                                       | 21/200 [02:41<28:51,  9.67s/it] 11%|██████▊                                                       | 22/200 [02:50<27:47,  9.37s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 22 items to ./fact/sharegpt/Finance.json
 12%|███████▏                                                      | 23/200 [02:59<27:22,  9.28s/it] 12%|███████▍                                                      | 24/200 [03:06<25:12,  8.59s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 24 items to ./fact/sharegpt/Finance.json
 12%|███████▊                                                      | 25/200 [03:15<25:19,  8.68s/it] 13%|████████                                                      | 26/200 [03:25<26:26,  9.12s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 26 items to ./fact/sharegpt/Finance.json
 14%|████████▎                                                     | 27/200 [03:30<22:45,  7.89s/it] 14%|████████▋                                                     | 28/200 [03:38<22:58,  8.01s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 28 items to ./fact/sharegpt/Finance.json
 14%|████████▉                                                     | 29/200 [03:47<23:19,  8.18s/it] 15%|█████████▎                                                    | 30/200 [03:56<23:53,  8.43s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 30 items to ./fact/sharegpt/Finance.json
 16%|█████████▌                                                    | 31/200 [04:09<27:28,  9.76s/it] 16%|█████████▉                                                    | 32/200 [04:22<30:12, 10.79s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 32 items to ./fact/sharegpt/Finance.json
 16%|██████████▏                                                   | 33/200 [04:33<30:29, 10.95s/it] 17%|██████████▌                                                   | 34/200 [04:40<26:54,  9.73s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 34 items to ./fact/sharegpt/Finance.json
 18%|██████████▊                                                   | 35/200 [04:41<19:28,  7.08s/it] 18%|███████████▏                                                  | 36/200 [04:52<22:43,  8.31s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 36 items to ./fact/sharegpt/Finance.json
 18%|███████████▍                                                  | 37/200 [05:00<22:08,  8.15s/it] 19%|███████████▊                                                  | 38/200 [05:08<21:44,  8.05s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 38 items to ./fact/sharegpt/Finance.json
 20%|████████████                                                  | 39/200 [05:15<20:56,  7.81s/it] 20%|████████████▍                                                 | 40/200 [05:25<22:37,  8.48s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 40 items to ./fact/sharegpt/Finance.json
 20%|████████████▋                                                 | 41/200 [05:29<18:39,  7.04s/it] 21%|█████████████                                                 | 42/200 [05:36<18:56,  7.19s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 42 items to ./fact/sharegpt/Finance.json
 22%|█████████████▎                                                | 43/200 [05:37<13:46,  5.27s/it] 22%|█████████████▋                                                | 44/200 [05:45<16:04,  6.18s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 44 items to ./fact/sharegpt/Finance.json
 22%|█████████████▉                                                | 45/200 [05:55<18:53,  7.31s/it] 23%|██████████████▎                                               | 46/200 [06:02<18:38,  7.26s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 46 items to ./fact/sharegpt/Finance.json
 24%|██████████████▌                                               | 47/200 [06:08<16:57,  6.65s/it] 24%|██████████████▉                                               | 48/200 [06:20<21:08,  8.35s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 48 items to ./fact/sharegpt/Finance.json
 24%|███████████████▏                                              | 49/200 [06:27<19:54,  7.91s/it] 25%|███████████████▌                                              | 50/200 [06:36<21:04,  8.43s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 50 items to ./fact/sharegpt/Finance.json
 26%|███████████████▊                                              | 51/200 [06:42<18:56,  7.63s/it] 26%|████████████████                                              | 52/200 [06:49<18:13,  7.39s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 52 items to ./fact/sharegpt/Finance.json
 26%|████████████████▍                                             | 53/200 [06:50<13:21,  5.45s/it] 27%|████████████████▋                                             | 54/200 [07:00<16:43,  6.87s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 54 items to ./fact/sharegpt/Finance.json
 28%|█████████████████                                             | 55/200 [07:09<18:02,  7.46s/it] 28%|█████████████████▎                                            | 56/200 [07:15<17:05,  7.12s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 56 items to ./fact/sharegpt/Finance.json
 28%|█████████████████▋                                            | 57/200 [07:22<16:23,  6.88s/it] 29%|█████████████████▉                                            | 58/200 [07:26<14:42,  6.21s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 58 items to ./fact/sharegpt/Finance.json
 30%|██████████████████▎                                           | 59/200 [07:34<15:47,  6.72s/it] 30%|██████████████████▌                                           | 60/200 [07:44<18:10,  7.79s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 60 items to ./fact/sharegpt/Finance.json
 30%|██████████████████▉                                           | 61/200 [07:55<20:09,  8.70s/it] 31%|███████████████████▏                                          | 62/200 [07:56<14:41,  6.39s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 62 items to ./fact/sharegpt/Finance.json
 32%|███████████████████▌                                          | 63/200 [08:03<15:08,  6.63s/it] 32%|███████████████████▊                                          | 64/200 [08:09<14:26,  6.37s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 64 items to ./fact/sharegpt/Finance.json
 32%|████████████████████▏                                         | 65/200 [08:15<13:51,  6.16s/it] 33%|████████████████████▍                                         | 66/200 [08:22<14:40,  6.57s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 66 items to ./fact/sharegpt/Finance.json
 34%|████████████████████▊                                         | 67/200 [08:31<16:04,  7.25s/it] 34%|█████████████████████                                         | 68/200 [08:38<15:16,  6.94s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 68 items to ./fact/sharegpt/Finance.json
 34%|█████████████████████▍                                        | 69/200 [08:38<11:13,  5.14s/it] 35%|█████████████████████▋                                        | 70/200 [08:44<11:39,  5.38s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 70 items to ./fact/sharegpt/Finance.json
 36%|██████████████████████                                        | 71/200 [08:52<13:17,  6.18s/it] 36%|██████████████████████▎                                       | 72/200 [09:02<15:15,  7.15s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 72 items to ./fact/sharegpt/Finance.json
 36%|██████████████████████▋                                       | 73/200 [09:08<14:38,  6.92s/it] 37%|██████████████████████▉                                       | 74/200 [09:17<15:43,  7.49s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 74 items to ./fact/sharegpt/Finance.json
 38%|███████████████████████▎                                      | 75/200 [09:23<14:55,  7.16s/it] 38%|███████████████████████▌                                      | 76/200 [09:30<14:39,  7.09s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 76 items to ./fact/sharegpt/Finance.json
 38%|███████████████████████▊                                      | 77/200 [09:38<14:38,  7.14s/it] 39%|████████████████████████▏                                     | 78/200 [09:43<13:32,  6.66s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 78 items to ./fact/sharegpt/Finance.json
 40%|████████████████████████▍                                     | 79/200 [09:49<12:58,  6.43s/it] 40%|████████████████████████▊                                     | 80/200 [09:54<12:08,  6.07s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 80 items to ./fact/sharegpt/Finance.json
 40%|█████████████████████████                                     | 81/200 [09:59<11:22,  5.73s/it] 41%|█████████████████████████▍                                    | 82/200 [10:03<10:22,  5.28s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 82 items to ./fact/sharegpt/Finance.json
 42%|█████████████████████████▋                                    | 83/200 [10:09<10:33,  5.41s/it] 42%|██████████████████████████                                    | 84/200 [10:16<11:24,  5.90s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 84 items to ./fact/sharegpt/Finance.json
 42%|██████████████████████████▎                                   | 85/200 [10:23<11:53,  6.20s/it] 43%|██████████████████████████▋                                   | 86/200 [10:31<12:39,  6.66s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 86 items to ./fact/sharegpt/Finance.json
 44%|██████████████████████████▉                                   | 87/200 [10:38<12:57,  6.88s/it] 44%|███████████████████████████▎                                  | 88/200 [10:49<14:59,  8.03s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 88 items to ./fact/sharegpt/Finance.json
 44%|███████████████████████████▌                                  | 89/200 [10:58<15:14,  8.23s/it] 45%|███████████████████████████▉                                  | 90/200 [11:05<14:25,  7.87s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 90 items to ./fact/sharegpt/Finance.json
 46%|████████████████████████████▏                                 | 91/200 [11:18<17:08,  9.44s/it] 46%|████████████████████████████▌                                 | 92/200 [11:24<15:03,  8.37s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 92 items to ./fact/sharegpt/Finance.json
 46%|████████████████████████████▊                                 | 93/200 [11:31<14:25,  8.09s/it] 47%|█████████████████████████████▏                                | 94/200 [11:40<14:42,  8.33s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 94 items to ./fact/sharegpt/Finance.json
 48%|█████████████████████████████▍                                | 95/200 [11:48<14:18,  8.18s/it] 48%|█████████████████████████████▊                                | 96/200 [11:59<15:47,  9.11s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 96 items to ./fact/sharegpt/Finance.json
 48%|██████████████████████████████                                | 97/200 [12:05<14:03,  8.19s/it] 49%|██████████████████████████████▍                               | 98/200 [12:11<12:51,  7.56s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 98 items to ./fact/sharegpt/Finance.json
 50%|██████████████████████████████▋                               | 99/200 [12:17<12:00,  7.14s/it] 50%|██████████████████████████████▌                              | 100/200 [12:26<12:37,  7.58s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 100 items to ./fact/sharegpt/Finance.json
 50%|██████████████████████████████▊                              | 101/200 [12:34<12:34,  7.62s/it] 51%|███████████████████████████████                              | 102/200 [12:39<11:17,  6.91s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 102 items to ./fact/sharegpt/Finance.json
 52%|███████████████████████████████▍                             | 103/200 [12:55<15:26,  9.55s/it] 52%|███████████████████████████████▋                             | 104/200 [13:02<14:18,  8.94s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 104 items to ./fact/sharegpt/Finance.json
 52%|████████████████████████████████                             | 105/200 [13:08<12:39,  8.00s/it] 53%|████████████████████████████████▎                            | 106/200 [13:09<09:11,  5.87s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 106 items to ./fact/sharegpt/Finance.json
 54%|████████████████████████████████▋                            | 107/200 [13:19<11:05,  7.15s/it] 54%|████████████████████████████████▉                            | 108/200 [13:26<10:46,  7.03s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 108 items to ./fact/sharegpt/Finance.json
 55%|█████████████████████████████████▏                           | 109/200 [13:32<10:06,  6.66s/it] 55%|█████████████████████████████████▌                           | 110/200 [13:38<09:54,  6.61s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 110 items to ./fact/sharegpt/Finance.json
 56%|█████████████████████████████████▊                           | 111/200 [13:39<07:13,  4.87s/it] 56%|██████████████████████████████████▏                          | 112/200 [13:45<07:42,  5.25s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 112 items to ./fact/sharegpt/Finance.json
 56%|██████████████████████████████████▍                          | 113/200 [13:53<08:38,  5.96s/it] 57%|██████████████████████████████████▊                          | 114/200 [14:01<09:30,  6.64s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 114 items to ./fact/sharegpt/Finance.json
 57%|███████████████████████████████████                          | 115/200 [14:07<09:08,  6.45s/it] 58%|███████████████████████████████████▍                         | 116/200 [14:14<09:29,  6.79s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 116 items to ./fact/sharegpt/Finance.json
 58%|███████████████████████████████████▋                         | 117/200 [14:20<08:53,  6.43s/it] 59%|███████████████████████████████████▉                         | 118/200 [14:26<08:25,  6.16s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 118 items to ./fact/sharegpt/Finance.json
 60%|████████████████████████████████████▎                        | 119/200 [14:30<07:39,  5.68s/it] 60%|████████████████████████████████████▌                        | 120/200 [14:38<08:16,  6.20s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 120 items to ./fact/sharegpt/Finance.json
 60%|████████████████████████████████████▉                        | 121/200 [14:44<08:07,  6.17s/it] 61%|█████████████████████████████████████▏                       | 122/200 [14:50<08:07,  6.26s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 122 items to ./fact/sharegpt/Finance.json
 62%|█████████████████████████████████████▌                       | 123/200 [14:55<07:36,  5.93s/it] 62%|█████████████████████████████████████▊                       | 124/200 [15:06<09:11,  7.25s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 124 items to ./fact/sharegpt/Finance.json
 62%|██████████████████████████████████████▏                      | 125/200 [15:12<08:44,  6.99s/it] 63%|██████████████████████████████████████▍                      | 126/200 [15:18<08:19,  6.75s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 126 items to ./fact/sharegpt/Finance.json
 64%|██████████████████████████████████████▋                      | 127/200 [15:27<08:49,  7.26s/it] 64%|███████████████████████████████████████                      | 128/200 [15:39<10:25,  8.69s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 128 items to ./fact/sharegpt/Finance.json
 64%|███████████████████████████████████████▎                     | 129/200 [15:46<09:53,  8.35s/it] 65%|███████████████████████████████████████▋                     | 130/200 [15:53<09:13,  7.91s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 130 items to ./fact/sharegpt/Finance.json
 66%|███████████████████████████████████████▉                     | 131/200 [16:00<08:45,  7.61s/it] 66%|████████████████████████████████████████▎                    | 132/200 [16:04<07:29,  6.61s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 132 items to ./fact/sharegpt/Finance.json
 66%|████████████████████████████████████████▌                    | 133/200 [16:13<08:11,  7.34s/it] 67%|████████████████████████████████████████▊                    | 134/200 [16:23<08:43,  7.93s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 134 items to ./fact/sharegpt/Finance.json
 68%|█████████████████████████████████████████▏                   | 135/200 [16:31<08:45,  8.09s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [16:42<09:34,  8.98s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 136 items to ./fact/sharegpt/Finance.json
 68%|█████████████████████████████████████████▊                   | 137/200 [16:50<09:04,  8.65s/it] 69%|██████████████████████████████████████████                   | 138/200 [17:01<09:32,  9.24s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 138 items to ./fact/sharegpt/Finance.json
 70%|██████████████████████████████████████████▍                  | 139/200 [17:07<08:38,  8.50s/it] 70%|██████████████████████████████████████████▋                  | 140/200 [17:14<07:51,  7.85s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 140 items to ./fact/sharegpt/Finance.json
 70%|███████████████████████████████████████████                  | 141/200 [17:18<06:42,  6.82s/it] 71%|███████████████████████████████████████████▎                 | 142/200 [17:26<07:00,  7.25s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 142 items to ./fact/sharegpt/Finance.json
 72%|███████████████████████████████████████████▌                 | 143/200 [17:40<08:38,  9.09s/it] 72%|███████████████████████████████████████████▉                 | 144/200 [17:41<06:13,  6.68s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 144 items to ./fact/sharegpt/Finance.json
 72%|████████████████████████████████████████████▏                | 145/200 [17:50<06:40,  7.28s/it] 73%|████████████████████████████████████████████▌                | 146/200 [18:11<10:23, 11.55s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 146 items to ./fact/sharegpt/Finance.json
 74%|████████████████████████████████████████████▊                | 147/200 [18:19<09:14, 10.47s/it] 74%|█████████████████████████████████████████████▏               | 148/200 [18:26<08:03,  9.30s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 148 items to ./fact/sharegpt/Finance.json
 74%|█████████████████████████████████████████████▍               | 149/200 [18:35<08:00,  9.42s/it] 75%|█████████████████████████████████████████████▊               | 150/200 [18:44<07:37,  9.15s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 150 items to ./fact/sharegpt/Finance.json
 76%|██████████████████████████████████████████████               | 151/200 [18:54<07:43,  9.47s/it] 76%|██████████████████████████████████████████████▎              | 152/200 [19:02<07:13,  9.03s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 152 items to ./fact/sharegpt/Finance.json
 76%|██████████████████████████████████████████████▋              | 153/200 [19:08<06:14,  7.98s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [19:23<07:55, 10.34s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 154 items to ./fact/sharegpt/Finance.json
 78%|███████████████████████████████████████████████▎             | 155/200 [19:31<07:07,  9.50s/it] 78%|███████████████████████████████████████████████▌             | 156/200 [19:32<05:06,  6.97s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 156 items to ./fact/sharegpt/Finance.json
 78%|███████████████████████████████████████████████▉             | 157/200 [19:40<05:13,  7.30s/it] 79%|████████████████████████████████████████████████▏            | 158/200 [19:41<03:45,  5.38s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 158 items to ./fact/sharegpt/Finance.json
 80%|████████████████████████████████████████████████▍            | 159/200 [19:52<04:52,  7.13s/it] 80%|████████████████████████████████████████████████▊            | 160/200 [19:54<03:36,  5.40s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 160 items to ./fact/sharegpt/Finance.json
 80%|█████████████████████████████████████████████████            | 161/200 [20:03<04:23,  6.77s/it] 81%|█████████████████████████████████████████████████▍           | 162/200 [20:10<04:17,  6.76s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 162 items to ./fact/sharegpt/Finance.json
 82%|█████████████████████████████████████████████████▋           | 163/200 [20:17<04:12,  6.83s/it] 82%|██████████████████████████████████████████████████           | 164/200 [20:26<04:24,  7.36s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 164 items to ./fact/sharegpt/Finance.json
 82%|██████████████████████████████████████████████████▎          | 165/200 [20:33<04:18,  7.38s/it] 83%|██████████████████████████████████████████████████▋          | 166/200 [20:42<04:26,  7.83s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 166 items to ./fact/sharegpt/Finance.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [20:50<04:16,  7.76s/it] 84%|███████████████████████████████████████████████████▏         | 168/200 [20:51<03:05,  5.79s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 168 items to ./fact/sharegpt/Finance.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [21:01<03:36,  6.98s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [21:08<03:31,  7.03s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 170 items to ./fact/sharegpt/Finance.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [21:15<03:25,  7.09s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [21:21<03:08,  6.74s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 172 items to ./fact/sharegpt/Finance.json
 86%|████████████████████████████████████████████████████▊        | 173/200 [21:29<03:14,  7.19s/it] 87%|█████████████████████████████████████████████████████        | 174/200 [21:39<03:28,  8.01s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 174 items to ./fact/sharegpt/Finance.json
 88%|█████████████████████████████████████████████████████▍       | 175/200 [21:44<02:57,  7.12s/it] 88%|█████████████████████████████████████████████████████▋       | 176/200 [21:45<02:05,  5.22s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 176 items to ./fact/sharegpt/Finance.json
 88%|█████████████████████████████████████████████████████▉       | 177/200 [21:51<02:04,  5.43s/it] 89%|██████████████████████████████████████████████████████▎      | 178/200 [21:56<01:56,  5.29s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 178 items to ./fact/sharegpt/Finance.json
 90%|██████████████████████████████████████████████████████▌      | 179/200 [22:06<02:21,  6.72s/it] 90%|██████████████████████████████████████████████████████▉      | 180/200 [22:07<01:38,  4.93s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 180 items to ./fact/sharegpt/Finance.json
 90%|███████████████████████████████████████████████████████▏     | 181/200 [22:14<01:46,  5.63s/it] 91%|███████████████████████████████████████████████████████▌     | 182/200 [22:20<01:43,  5.77s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 182 items to ./fact/sharegpt/Finance.json
 92%|███████████████████████████████████████████████████████▊     | 183/200 [22:25<01:32,  5.47s/it] 92%|████████████████████████████████████████████████████████     | 184/200 [22:35<01:48,  6.79s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 184 items to ./fact/sharegpt/Finance.json
 92%|████████████████████████████████████████████████████████▍    | 185/200 [22:44<01:52,  7.47s/it] 93%|████████████████████████████████████████████████████████▋    | 186/200 [22:52<01:45,  7.57s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 186 items to ./fact/sharegpt/Finance.json
 94%|█████████████████████████████████████████████████████████    | 187/200 [22:57<01:30,  6.95s/it] 94%|█████████████████████████████████████████████████████████▎   | 188/200 [23:13<01:56,  9.72s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 188 items to ./fact/sharegpt/Finance.json
 94%|█████████████████████████████████████████████████████████▋   | 189/200 [23:22<01:43,  9.40s/it] 95%|█████████████████████████████████████████████████████████▉   | 190/200 [23:26<01:18,  7.85s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 190 items to ./fact/sharegpt/Finance.json
 96%|██████████████████████████████████████████████████████████▎  | 191/200 [23:27<00:52,  5.80s/it] 96%|██████████████████████████████████████████████████████████▌  | 192/200 [23:46<01:18,  9.85s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 192 items to ./fact/sharegpt/Finance.json
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [23:54<01:04,  9.20s/it] 97%|███████████████████████████████████████████████████████████▏ | 194/200 [24:00<00:48,  8.15s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 194 items to ./fact/sharegpt/Finance.json
 98%|███████████████████████████████████████████████████████████▍ | 195/200 [24:01<00:30,  6.01s/it] 98%|███████████████████████████████████████████████████████████▊ | 196/200 [24:06<00:23,  5.80s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 196 items to ./fact/sharegpt/Finance.json
 98%|████████████████████████████████████████████████████████████ | 197/200 [24:13<00:18,  6.27s/it] 99%|████████████████████████████████████████████████████████████▍| 198/200 [24:19<00:12,  6.02s/it]Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 198 items to ./fact/sharegpt/Finance.json
100%|████████████████████████████████████████████████████████████▋| 199/200 [24:26<00:06,  6.47s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [24:36<00:00,  7.38s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [24:36<00:00,  7.38s/it]
Process ID: [2339266] | Model: llama-7b | File: Finance | Saving 200 items to ./fact/sharegpt/Finance.json
Process ID: [2339266] | Exit
Process ID: [2339266] | Loading data from ./sft2/sharegpt/Science.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 0 items to ./fact/sharegpt/Science.json
  0%|▎                                                              | 1/200 [00:10<33:48, 10.20s/it]  1%|▋                                                              | 2/200 [00:15<24:27,  7.41s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 2 items to ./fact/sharegpt/Science.json
  2%|▉                                                              | 3/200 [00:23<24:22,  7.43s/it]  2%|█▎                                                             | 4/200 [00:31<25:06,  7.68s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 4 items to ./fact/sharegpt/Science.json
  2%|█▌                                                             | 5/200 [00:40<26:56,  8.29s/it]  3%|█▉                                                             | 6/200 [00:49<27:04,  8.37s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 6 items to ./fact/sharegpt/Science.json
  4%|██▏                                                            | 7/200 [01:03<33:15, 10.34s/it]  4%|██▌                                                            | 8/200 [01:13<32:35, 10.19s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 8 items to ./fact/sharegpt/Science.json
  4%|██▊                                                            | 9/200 [01:20<29:00,  9.11s/it]  5%|███                                                           | 10/200 [01:31<31:22,  9.91s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 10 items to ./fact/sharegpt/Science.json
  6%|███▍                                                          | 11/200 [01:43<33:23, 10.60s/it]  6%|███▋                                                          | 12/200 [01:50<28:54,  9.23s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 12 items to ./fact/sharegpt/Science.json
