Process ID: [2461870] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/
    save_dir: ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/determine_truthfulness_ins.txt
Process ID: [2461870] | Loading data from ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:05<19:34,  5.90s/it]  1%|▋                                                              | 2/200 [00:10<16:56,  5.13s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 78%|███████████████████████████████████████████████▉             | 157/200 [24:14<09:57, 13.90s/it] 79%|████████████████████████████████████████████████▏            | 158/200 [24:23<08:40, 12.38s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 158 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 80%|████████████████████████████████████████████████▍            | 159/200 [24:30<07:18, 10.68s/it] 80%|████████████████████████████████████████████████▊            | 160/200 [24:42<07:24, 11.12s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 160 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 80%|█████████████████████████████████████████████████            | 161/200 [25:01<08:49, 13.58s/it] 81%|█████████████████████████████████████████████████▍           | 162/200 [25:13<08:14, 13.01s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 162 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 82%|█████████████████████████████████████████████████▋           | 163/200 [25:17<06:28, 10.50s/it] 82%|██████████████████████████████████████████████████           | 164/200 [25:28<06:19, 10.55s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 164 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 82%|██████████████████████████████████████████████████▎          | 165/200 [25:45<07:13, 12.38s/it] 83%|██████████████████████████████████████████████████▋          | 166/200 [25:54<06:31, 11.50s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 166 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [26:05<06:12, 11.30s/it] 84%|███████████████████████████████████████████████████▏         | 168/200 [26:14<05:35, 10.49s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 168 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [26:15<03:57,  7.67s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [26:18<03:13,  6.44s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 170 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [26:22<02:43,  5.62s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [26:31<03:05,  6.62s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 172 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 86%|████████████████████████████████████████████████████▊        | 173/200 [26:45<03:58,  8.82s/it] 87%|█████████████████████████████████████████████████████        | 174/200 [26:48<03:04,  7.09s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 174 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 88%|█████████████████████████████████████████████████████▍       | 175/200 [26:51<02:24,  5.77s/it] 88%|█████████████████████████████████████████████████████▋       | 176/200 [26:56<02:16,  5.68s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 176 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 88%|█████████████████████████████████████████████████████▉       | 177/200 [26:58<01:43,  4.51s/it] 89%|██████████████████████████████████████████████████████▎      | 178/200 [27:01<01:31,  4.18s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 178 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 90%|██████████████████████████████████████████████████████▌      | 179/200 [27:06<01:28,  4.22s/it] 90%|██████████████████████████████████████████████████████▉      | 180/200 [27:11<01:30,  4.50s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 180 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 90%|███████████████████████████████████████████████████████▏     | 181/200 [27:19<01:46,  5.62s/it] 91%|███████████████████████████████████████████████████████▌     | 182/200 [27:31<02:14,  7.49s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 182 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 92%|███████████████████████████████████████████████████████▊     | 183/200 [27:37<02:00,  7.09s/it] 92%|████████████████████████████████████████████████████████     | 184/200 [27:51<02:26,  9.17s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 184 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 92%|████████████████████████████████████████████████████████▍    | 185/200 [27:55<01:54,  7.61s/it] 93%|████████████████████████████████████████████████████████▋    | 186/200 [27:59<01:32,  6.63s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 186 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 94%|█████████████████████████████████████████████████████████    | 187/200 [28:06<01:26,  6.62s/it] 94%|█████████████████████████████████████████████████████████▎   | 188/200 [28:15<01:26,  7.24s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 188 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 94%|█████████████████████████████████████████████████████████▋   | 189/200 [28:22<01:20,  7.30s/it] 95%|█████████████████████████████████████████████████████████▉   | 190/200 [28:28<01:07,  6.76s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 190 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 96%|██████████████████████████████████████████████████████████▎  | 191/200 [28:39<01:14,  8.25s/it] 96%|██████████████████████████████████████████████████████████▌  | 192/200 [28:46<01:02,  7.83s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 192 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [28:49<00:45,  6.43s/it] 97%|███████████████████████████████████████████████████████████▏ | 194/200 [29:06<00:57,  9.63s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 194 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 98%|███████████████████████████████████████████████████████████▍ | 195/200 [29:11<00:41,  8.26s/it] 98%|███████████████████████████████████████████████████████████▊ | 196/200 [29:39<00:56, 14.09s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 196 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 98%|████████████████████████████████████████████████████████████ | 197/200 [29:45<00:34, 11.64s/it] 99%|████████████████████████████████████████████████████████████▍| 198/200 [29:57<00:23, 11.78s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 198 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
100%|████████████████████████████████████████████████████████████▋| 199/200 [30:02<00:09,  9.71s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [30:16<00:00, 11.10s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [30:16<00:00,  9.08s/it]
Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 200 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
Process ID: [2461870] | Exit
Process ID: [2461870] | Loading data from ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 0 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
  0%|▎                                                              | 1/200 [00:07<24:40,  7.44s/it]  1%|▋                                                              | 2/200 [00:14<23:10,  7.02s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 2 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
  2%|▉                                                              | 3/200 [00:18<18:53,  5.75s/it]  2%|█▎                                                             | 4/200 [00:37<35:27, 10.86s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 4 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
  2%|█▌                                                             | 5/200 [00:41<27:47,  8.55s/it]  3%|█▉                                                             | 6/200 [00:56<34:54, 10.80s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 6 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
  4%|██▏                                                            | 7/200 [01:01<28:17,  8.79s/it]  4%|██▌                                                            | 8/200 [01:17<35:59, 11.25s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 8 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
  4%|██▊                                                            | 9/200 [01:20<27:20,  8.59s/it]  5%|███                                                           | 10/200 [01:25<23:53,  7.55s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 10 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
  6%|███▍                                                          | 11/200 [01:38<28:17,  8.98s/it]  6%|███▋                                                          | 12/200 [01:56<36:51, 11.76s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 12 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
  6%|████                                                          | 13/200 [02:07<36:34, 11.74s/it]  7%|████▎                                                         | 14/200 [02:09<27:09,  8.76s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 14 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
  8%|████▋                                                         | 15/200 [02:18<27:03,  8.78s/it]  8%|████▉                                                         | 16/200 [02:21<21:09,  6.90s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 16 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
  8%|█████▎                                                        | 17/200 [02:26<19:50,  6.50s/it]  9%|█████▌                                                        | 18/200 [02:32<19:00,  6.26s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 18 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 10%|█████▉                                                        | 19/200 [02:54<32:55, 10.91s/it] 10%|██████▏                                                       | 20/200 [03:04<32:32, 10.85s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 20 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 10%|██████▌                                                       | 21/200 [03:16<32:49, 11.00s/it] 11%|██████▊                                                       | 22/200 [03:30<35:16, 11.89s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 22 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 12%|███████▏                                                      | 23/200 [03:51<43:21, 14.70s/it] 12%|███████▍                                                      | 24/200 [03:54<33:07, 11.29s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 24 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 12%|███████▊                                                      | 25/200 [03:59<27:17,  9.36s/it] 13%|████████                                                      | 26/200 [04:01<21:02,  7.26s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 26 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 14%|████████▎                                                     | 27/200 [04:12<23:25,  8.12s/it] 14%|████████▋                                                     | 28/200 [04:15<19:26,  6.78s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 28 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 14%|████████▉                                                     | 29/200 [04:55<47:16, 16.59s/it] 15%|█████████▎                                                    | 30/200 [04:56<34:18, 12.11s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 30 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 16%|█████████▌                                                    | 31/200 [05:00<26:57,  9.57s/it] 16%|█████████▉                                                    | 32/200 [05:07<25:00,  8.93s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 32 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 16%|██████████▏                                                   | 33/200 [05:41<45:13, 16.25s/it] 17%|██████████▌                                                   | 34/200 [05:43<33:04, 11.95s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 34 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 18%|██████████▊                                                   | 35/200 [05:50<29:19, 10.66s/it] 18%|███████████▏                                                  | 36/200 [06:00<28:34, 10.45s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 36 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 18%|███████████▍                                                  | 37/200 [06:05<23:57,  8.82s/it] 19%|███████████▊                                                  | 38/200 [06:54<56:09, 20.80s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 38 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 20%|████████████                                                  | 39/200 [07:02<45:44, 17.05s/it] 20%|████████████▍                                                 | 40/200 [07:08<36:38, 13.74s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 40 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 20%|████████████▋                                                 | 41/200 [07:22<36:06, 13.62s/it] 21%|█████████████                                                 | 42/200 [07:28<29:39, 11.26s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 42 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 22%|█████████████▎                                                | 43/200 [07:42<31:47, 12.15s/it] 22%|█████████████▋                                                | 44/200 [07:46<25:34,  9.84s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 44 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 22%|█████████████▉                                                | 45/200 [08:01<29:36, 11.46s/it] 23%|██████████████▎                                               | 46/200 [08:03<21:45,  8.47s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 46 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 24%|██████████████▌                                               | 47/200 [08:11<21:05,  8.27s/it] 24%|██████████████▉                                               | 48/200 [08:18<19:58,  7.89s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 48 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 24%|███████████████▏                                              | 49/200 [08:27<20:31,  8.16s/it] 25%|███████████████▌                                              | 50/200 [08:40<24:35,  9.84s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 50 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 26%|███████████████▊                                              | 51/200 [08:45<20:17,  8.17s/it] 26%|████████████████                                              | 52/200 [08:54<20:55,  8.48s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 52 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 26%|████████████████▍                                             | 53/200 [09:04<21:49,  8.91s/it] 27%|████████████████▋                                             | 54/200 [09:08<18:30,  7.61s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 54 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 28%|█████████████████                                             | 55/200 [09:17<18:52,  7.81s/it] 28%|█████████████████▎                                            | 56/200 [09:24<18:13,  7.59s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 56 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 28%|█████████████████▋                                            | 57/200 [09:36<21:38,  9.08s/it] 29%|█████████████████▉                                            | 58/200 [09:41<18:35,  7.86s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 58 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 30%|██████████████████▎                                           | 59/200 [09:56<23:03,  9.81s/it] 30%|██████████████████▌                                           | 60/200 [09:58<17:29,  7.49s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 60 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 30%|██████████████████▉                                           | 61/200 [10:16<25:04, 10.83s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 62 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 32%|███████████████████▌                                          | 63/200 [10:20<15:21,  6.73s/it] 32%|███████████████████▊                                          | 64/200 [10:24<13:25,  5.92s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 64 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 32%|████████████████████▏                                         | 65/200 [10:25<10:54,  4.85s/it] 33%|████████████████████▍                                         | 66/200 [10:27<08:47,  3.94s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 66 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 34%|████████████████████▊                                         | 67/200 [10:43<16:08,  7.28s/it] 34%|█████████████████████                                         | 68/200 [10:50<16:04,  7.31s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 68 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 34%|█████████████████████▍                                        | 69/200 [11:07<21:57, 10.05s/it] 35%|█████████████████████▋                                        | 70/200 [11:11<18:00,  8.31s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 70 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 36%|██████████████████████                                        | 71/200 [11:22<19:21,  9.00s/it] 36%|██████████████████████▎                                       | 72/200 [11:23<14:20,  6.72s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 72 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 36%|██████████████████████▋                                       | 73/200 [11:25<11:31,  5.45s/it] 37%|██████████████████████▉                                       | 74/200 [11:27<09:06,  4.34s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 74 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 38%|███████████████████████▎                                      | 75/200 [11:37<12:42,  6.10s/it] 38%|███████████████████████▌                                      | 76/200 [11:41<10:45,  5.20s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 76 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 38%|███████████████████████▊                                      | 77/200 [11:44<09:41,  4.73s/it] 39%|████████████████████████▏                                     | 78/200 [11:49<09:32,  4.69s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 78 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 40%|████████████████████████▍                                     | 79/200 [12:01<13:49,  6.85s/it] 40%|████████████████████████▊                                     | 80/200 [12:06<12:45,  6.38s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 80 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 40%|█████████████████████████                                     | 81/200 [12:07<09:44,  4.92s/it] 41%|█████████████████████████▍                                    | 82/200 [12:09<07:47,  3.96s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 82 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 42%|█████████████████████████▋                                    | 83/200 [12:15<08:31,  4.37s/it] 42%|██████████████████████████                                    | 84/200 [12:21<09:29,  4.91s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 84 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 42%|██████████████████████████▎                                   | 85/200 [12:32<13:18,  6.95s/it] 43%|██████████████████████████▋                                   | 86/200 [12:34<10:24,  5.48s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 86 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 44%|██████████████████████████▉                                   | 87/200 [12:40<10:25,  5.54s/it] 44%|███████████████████████████▎                                  | 88/200 [12:51<13:08,  7.04s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 88 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 44%|███████████████████████████▌                                  | 89/200 [12:58<13:05,  7.07s/it] 45%|███████████████████████████▉                                  | 90/200 [12:59<09:46,  5.34s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 90 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 46%|████████████████████████████▏                                 | 91/200 [13:24<20:14, 11.15s/it] 46%|████████████████████████████▌                                 | 92/200 [13:32<18:25, 10.24s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 92 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 46%|████████████████████████████▊                                 | 93/200 [13:39<16:36,  9.32s/it] 47%|█████████████████████████████▏                                | 94/200 [13:43<13:40,  7.74s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 94 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 48%|█████████████████████████████▍                                | 95/200 [13:47<11:31,  6.59s/it] 48%|█████████████████████████████▊                                | 96/200 [14:00<14:48,  8.54s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 96 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 48%|██████████████████████████████                                | 97/200 [14:12<16:09,  9.41s/it] 49%|██████████████████████████████▍                               | 98/200 [14:14<12:14,  7.20s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 98 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 50%|██████████████████████████████▋                               | 99/200 [14:21<12:18,  7.31s/it] 50%|██████████████████████████████▌                              | 100/200 [14:31<13:23,  8.04s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 100 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 50%|██████████████████████████████▊                              | 101/200 [14:36<11:33,  7.00s/it] 51%|███████████████████████████████                              | 102/200 [14:40<10:02,  6.15s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 102 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 52%|███████████████████████████████▍                             | 103/200 [15:06<19:30, 12.07s/it] 52%|███████████████████████████████▋                             | 104/200 [15:07<14:18,  8.94s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 104 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 52%|████████████████████████████████                             | 105/200 [15:11<11:39,  7.36s/it] 53%|████████████████████████████████▎                            | 106/200 [15:17<10:44,  6.85s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 106 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 54%|████████████████████████████████▋                            | 107/200 [15:23<10:20,  6.67s/it] 54%|████████████████████████████████▉                            | 108/200 [15:28<09:24,  6.14s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 108 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 55%|█████████████████████████████████▏                           | 109/200 [15:56<19:27, 12.83s/it] 55%|█████████████████████████████████▌                           | 110/200 [15:58<14:24,  9.60s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 110 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 56%|█████████████████████████████████▊                           | 111/200 [16:03<12:12,  8.23s/it] 56%|██████████████████████████████████▏                          | 112/200 [16:08<10:40,  7.28s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 112 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 56%|██████████████████████████████████▍                          | 113/200 [16:26<15:04, 10.40s/it] 57%|██████████████████████████████████▊                          | 114/200 [16:42<17:23, 12.13s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 114 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 57%|███████████████████████████████████                          | 115/200 [16:52<16:21, 11.55s/it] 58%|███████████████████████████████████▍                         | 116/200 [16:59<14:16, 10.20s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 116 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
