Process ID: [2461867] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/
    save_dir: ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/determine_truthfulness_ins.txt
Process ID: [2461867] | Loading data from ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:10<36:28, 11.00s/it]  1%|▋                                                              | 2/200 [00:17<26:42,  8.10s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 76%|██████████████████████████████████████████████▋              | 153/200 [28:50<05:57,  7.61s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [28:59<06:20,  8.26s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 154 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 78%|███████████████████████████████████████████████▎             | 155/200 [29:19<08:48, 11.75s/it] 78%|███████████████████████████████████████████████▌             | 156/200 [29:26<07:30, 10.24s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 156 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 78%|███████████████████████████████████████████████▉             | 157/200 [29:40<08:09, 11.39s/it] 79%|████████████████████████████████████████████████▏            | 158/200 [29:48<07:10, 10.25s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 158 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 80%|████████████████████████████████████████████████▍            | 159/200 [30:09<09:17, 13.61s/it] 80%|████████████████████████████████████████████████▊            | 160/200 [30:16<07:39, 11.49s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 160 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 80%|█████████████████████████████████████████████████            | 161/200 [31:01<14:00, 21.56s/it] 81%|█████████████████████████████████████████████████▍           | 162/200 [31:13<11:53, 18.77s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 162 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 82%|█████████████████████████████████████████████████▋           | 163/200 [31:21<09:35, 15.55s/it] 82%|██████████████████████████████████████████████████           | 164/200 [31:35<09:05, 15.14s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 164 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 82%|██████████████████████████████████████████████████▎          | 165/200 [31:50<08:45, 15.00s/it] 83%|██████████████████████████████████████████████████▋          | 166/200 [32:08<08:59, 15.87s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 166 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [32:25<08:59, 16.36s/it] 84%|███████████████████████████████████████████████████▏         | 168/200 [32:29<06:42, 12.56s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 168 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [32:37<05:50, 11.30s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [33:02<07:36, 15.21s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 170 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [33:09<06:13, 12.89s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [33:30<07:10, 15.37s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 172 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 86%|████████████████████████████████████████████████████▊        | 173/200 [33:40<06:08, 13.65s/it] 87%|█████████████████████████████████████████████████████        | 174/200 [33:42<04:26, 10.23s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 174 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 88%|█████████████████████████████████████████████████████▍       | 175/200 [33:53<04:21, 10.45s/it] 88%|█████████████████████████████████████████████████████▋       | 176/200 [34:04<04:10, 10.45s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 176 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 88%|█████████████████████████████████████████████████████▉       | 177/200 [34:20<04:41, 12.26s/it] 89%|██████████████████████████████████████████████████████▎      | 178/200 [34:27<03:56, 10.74s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 178 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 90%|██████████████████████████████████████████████████████▌      | 179/200 [34:33<03:15,  9.31s/it] 90%|██████████████████████████████████████████████████████▉      | 180/200 [34:47<03:30, 10.54s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 180 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 90%|███████████████████████████████████████████████████████▏     | 181/200 [35:01<03:39, 11.56s/it] 91%|███████████████████████████████████████████████████████▌     | 182/200 [35:11<03:21, 11.18s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 182 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 92%|███████████████████████████████████████████████████████▊     | 183/200 [35:26<03:30, 12.37s/it] 92%|████████████████████████████████████████████████████████     | 184/200 [35:39<03:19, 12.44s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 184 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 92%|████████████████████████████████████████████████████████▍    | 185/200 [35:46<02:45, 11.04s/it] 93%|████████████████████████████████████████████████████████▋    | 186/200 [36:02<02:51, 12.26s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 186 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 94%|█████████████████████████████████████████████████████████    | 187/200 [36:29<03:38, 16.84s/it] 94%|█████████████████████████████████████████████████████████▎   | 188/200 [36:36<02:47, 13.92s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 188 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 94%|█████████████████████████████████████████████████████████▋   | 189/200 [36:51<02:36, 14.25s/it] 95%|█████████████████████████████████████████████████████████▉   | 190/200 [37:05<02:21, 14.10s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 190 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 96%|██████████████████████████████████████████████████████████▌  | 192/200 [37:10<01:10,  8.79s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 192 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [37:13<00:51,  7.30s/it] 97%|███████████████████████████████████████████████████████████▏ | 194/200 [37:21<00:45,  7.53s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 194 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 98%|███████████████████████████████████████████████████████████▍ | 195/200 [37:29<00:38,  7.71s/it] 98%|███████████████████████████████████████████████████████████▊ | 196/200 [37:34<00:27,  6.96s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 196 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 98%|████████████████████████████████████████████████████████████ | 197/200 [37:50<00:28,  9.38s/it] 99%|████████████████████████████████████████████████████████████▍| 198/200 [38:04<00:21, 10.92s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 198 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
100%|████████████████████████████████████████████████████████████▋| 199/200 [38:15<00:10, 10.70s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [38:35<00:00, 13.40s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [38:35<00:00, 11.58s/it]
Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 200 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
Process ID: [2461867] | Exit
Process ID: [2461867] | Loading data from ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 0 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
  0%|▎                                                              | 1/200 [00:09<33:02,  9.96s/it]  1%|▋                                                              | 2/200 [00:11<16:52,  5.11s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 2 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
  2%|▉                                                              | 3/200 [00:27<32:48,  9.99s/it]  2%|█▎                                                             | 4/200 [00:40<36:13, 11.09s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 4 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
  2%|█▌                                                             | 5/200 [00:45<28:47,  8.86s/it]  3%|█▉                                                             | 6/200 [01:01<37:16, 11.53s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 6 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
  4%|██▏                                                            | 7/200 [01:04<27:59,  8.70s/it]  4%|██▌                                                            | 8/200 [01:14<29:20,  9.17s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 8 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
  4%|██▊                                                            | 9/200 [01:16<21:44,  6.83s/it]  5%|███                                                           | 10/200 [01:26<25:06,  7.93s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 10 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
  6%|███▋                                                          | 12/200 [01:31<16:28,  5.26s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 12 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
  6%|████                                                          | 13/200 [01:40<19:12,  6.16s/it]  7%|████▎                                                         | 14/200 [01:46<18:52,  6.09s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 14 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
  8%|████▋                                                         | 15/200 [01:50<17:07,  5.55s/it]  8%|████▉                                                         | 16/200 [02:02<22:36,  7.37s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 16 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
  8%|█████▎                                                        | 17/200 [02:06<19:47,  6.49s/it]  9%|█████▌                                                        | 18/200 [02:13<19:40,  6.48s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 18 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 10%|█████▉                                                        | 19/200 [02:25<24:44,  8.20s/it] 10%|██████▏                                                       | 20/200 [02:32<23:28,  7.83s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 20 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 10%|██████▌                                                       | 21/200 [02:41<24:18,  8.15s/it] 11%|██████▊                                                       | 22/200 [02:44<19:46,  6.66s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 22 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 12%|███████▏                                                      | 23/200 [02:54<22:27,  7.61s/it] 12%|███████▍                                                      | 24/200 [03:12<31:46, 10.83s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 24 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 12%|███████▊                                                      | 25/200 [03:17<25:57,  8.90s/it] 13%|████████                                                      | 26/200 [03:23<23:20,  8.05s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 26 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 14%|████████▎                                                     | 27/200 [03:35<27:14,  9.45s/it] 14%|████████▋                                                     | 28/200 [03:38<20:57,  7.31s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 28 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 15%|█████████▎                                                    | 30/200 [03:40<12:27,  4.40s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 30 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 16%|█████████▌                                                    | 31/200 [03:54<19:12,  6.82s/it] 16%|█████████▉                                                    | 32/200 [04:02<20:05,  7.18s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 32 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 16%|██████████▏                                                   | 33/200 [04:20<27:56, 10.04s/it] 17%|██████████▌                                                   | 34/200 [04:50<43:07, 15.59s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 34 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 18%|██████████▊                                                   | 35/200 [05:07<44:15, 16.09s/it] 18%|███████████▏                                                  | 36/200 [05:17<39:12, 14.34s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 36 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 18%|███████████▍                                                  | 37/200 [05:19<28:49, 10.61s/it] 19%|███████████▊                                                  | 38/200 [05:38<35:26, 13.13s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 38 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 20%|████████████                                                  | 39/200 [06:05<46:12, 17.22s/it] 20%|████████████▍                                                 | 40/200 [06:11<37:13, 13.96s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 40 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 20%|████████████▋                                                 | 41/200 [06:36<46:08, 17.41s/it] 21%|█████████████                                                 | 42/200 [06:43<37:19, 14.18s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 42 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 22%|█████████████▎                                                | 43/200 [06:48<29:49, 11.40s/it] 22%|█████████████▋                                                | 44/200 [06:53<24:52,  9.56s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 44 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 22%|█████████████▉                                                | 45/200 [07:00<22:33,  8.73s/it] 23%|██████████████▎                                               | 46/200 [07:06<19:58,  7.78s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 46 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 24%|██████████████▌                                               | 47/200 [07:12<18:35,  7.29s/it] 24%|██████████████▉                                               | 48/200 [07:17<16:46,  6.62s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 48 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 24%|███████████████▏                                              | 49/200 [07:22<15:24,  6.13s/it] 25%|███████████████▌                                              | 50/200 [07:35<20:29,  8.20s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 50 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 26%|███████████████▊                                              | 51/200 [07:40<17:59,  7.24s/it] 26%|████████████████                                              | 52/200 [07:42<14:12,  5.76s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 52 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 26%|████████████████▍                                             | 53/200 [07:53<17:33,  7.17s/it] 27%|████████████████▋                                             | 54/200 [08:03<19:31,  8.02s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 54 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 28%|█████████████████                                             | 55/200 [08:06<16:25,  6.80s/it] 28%|█████████████████▎                                            | 56/200 [08:27<26:30, 11.04s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 56 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 28%|█████████████████▋                                            | 57/200 [08:57<39:39, 16.64s/it] 29%|█████████████████▉                                            | 58/200 [09:11<37:31, 15.85s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 58 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 30%|██████████████████▎                                           | 59/200 [09:26<36:39, 15.60s/it] 30%|██████████████████▌                                           | 60/200 [09:28<26:40, 11.43s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 60 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 30%|██████████████████▉                                           | 61/200 [09:41<27:57, 12.07s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 62 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 32%|███████████████████▌                                          | 63/200 [09:43<15:55,  6.97s/it] 32%|███████████████████▊                                          | 64/200 [10:01<21:55,  9.67s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 64 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 32%|████████████████████▏                                         | 65/200 [10:03<17:19,  7.70s/it] 33%|████████████████████▍                                         | 66/200 [10:09<15:44,  7.05s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 66 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 34%|████████████████████▊                                         | 67/200 [10:23<19:59,  9.02s/it] 34%|█████████████████████                                         | 68/200 [10:34<20:52,  9.49s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 68 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 34%|█████████████████████▍                                        | 69/200 [10:46<22:34, 10.34s/it] 35%|█████████████████████▋                                        | 70/200 [10:54<20:38,  9.53s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 70 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 36%|██████████████████████                                        | 71/200 [11:09<24:11, 11.25s/it] 36%|██████████████████████▎                                       | 72/200 [11:14<20:03,  9.40s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 72 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 36%|██████████████████████▋                                       | 73/200 [11:17<16:07,  7.62s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 74 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 38%|███████████████████████▎                                      | 75/200 [11:28<13:39,  6.55s/it] 38%|███████████████████████▌                                      | 76/200 [11:33<12:50,  6.21s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 76 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 38%|███████████████████████▊                                      | 77/200 [11:38<11:55,  5.82s/it] 39%|████████████████████████▏                                     | 78/200 [11:46<13:01,  6.41s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 78 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 40%|████████████████████████▍                                     | 79/200 [11:48<10:35,  5.25s/it] 40%|████████████████████████▊                                     | 80/200 [11:59<13:38,  6.82s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 80 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 40%|█████████████████████████                                     | 81/200 [12:02<11:19,  5.71s/it] 41%|█████████████████████████▍                                    | 82/200 [12:04<09:29,  4.83s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 82 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 42%|█████████████████████████▋                                    | 83/200 [12:16<13:03,  6.70s/it] 42%|██████████████████████████                                    | 84/200 [12:23<13:30,  6.99s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 84 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 42%|██████████████████████████▎                                   | 85/200 [12:30<13:00,  6.78s/it] 43%|██████████████████████████▋                                   | 86/200 [12:31<10:04,  5.30s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 86 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 44%|██████████████████████████▉                                   | 87/200 [12:38<10:45,  5.72s/it] 44%|███████████████████████████▎                                  | 88/200 [12:42<09:33,  5.12s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 88 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 44%|███████████████████████████▌                                  | 89/200 [12:53<12:52,  6.96s/it] 45%|███████████████████████████▉                                  | 90/200 [12:56<10:47,  5.88s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 90 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 46%|████████████████████████████▏                                 | 91/200 [13:04<11:29,  6.33s/it] 46%|████████████████████████████▌                                 | 92/200 [13:14<13:34,  7.54s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 92 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 46%|████████████████████████████▊                                 | 93/200 [13:16<10:25,  5.85s/it] 47%|█████████████████████████████▏                                | 94/200 [13:28<13:17,  7.52s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 94 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 48%|█████████████████████████████▍                                | 95/200 [13:42<16:38,  9.51s/it] 48%|█████████████████████████████▊                                | 96/200 [13:53<17:32, 10.12s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 96 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 48%|██████████████████████████████                                | 97/200 [14:06<18:37, 10.85s/it] 49%|██████████████████████████████▍                               | 98/200 [14:12<16:07,  9.48s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 98 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 50%|██████████████████████████████▋                               | 99/200 [14:16<13:17,  7.90s/it] 50%|██████████████████████████████▌                              | 100/200 [14:21<11:41,  7.01s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 100 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 50%|██████████████████████████████▊                              | 101/200 [14:35<14:49,  8.98s/it] 51%|███████████████████████████████                              | 102/200 [14:44<14:48,  9.07s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 102 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 52%|███████████████████████████████▍                             | 103/200 [14:52<14:04,  8.70s/it] 52%|███████████████████████████████▋                             | 104/200 [15:05<15:54,  9.94s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 104 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 52%|████████████████████████████████                             | 105/200 [15:09<13:10,  8.32s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 106 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 54%|████████████████████████████████▋                            | 107/200 [15:11<07:38,  4.93s/it] 54%|████████████████████████████████▉                            | 108/200 [15:16<07:30,  4.89s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 108 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 55%|█████████████████████████████████▏                           | 109/200 [15:31<11:23,  7.51s/it] 55%|█████████████████████████████████▌                           | 110/200 [15:55<18:04, 12.05s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 110 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 56%|█████████████████████████████████▊                           | 111/200 [16:05<16:58, 11.45s/it] 56%|██████████████████████████████████▏                          | 112/200 [16:12<15:00, 10.23s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 112 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
