Process ID: [2461869] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/
    save_dir: ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/determine_truthfulness_ins.txt
Process ID: [2461869] | Loading data from ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:08<27:22,  8.25s/it]  1%|▋                                                              | 2/200 [00:26<47:07, 14.28s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 78%|███████████████████████████████████████████████▎             | 155/200 [26:28<06:27,  8.61s/it] 78%|███████████████████████████████████████████████▌             | 156/200 [26:36<06:07,  8.34s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 156 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 78%|███████████████████████████████████████████████▉             | 157/200 [26:51<07:29, 10.45s/it] 79%|████████████████████████████████████████████████▏            | 158/200 [26:55<05:59,  8.57s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 158 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 80%|████████████████████████████████████████████████▍            | 159/200 [27:07<06:31,  9.55s/it] 80%|████████████████████████████████████████████████▊            | 160/200 [27:16<06:15,  9.39s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 160 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 80%|█████████████████████████████████████████████████            | 161/200 [27:28<06:38, 10.22s/it] 81%|█████████████████████████████████████████████████▍           | 162/200 [27:48<08:14, 13.01s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 162 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 82%|█████████████████████████████████████████████████▋           | 163/200 [27:59<07:40, 12.45s/it] 82%|██████████████████████████████████████████████████           | 164/200 [28:07<06:44, 11.23s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 164 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 82%|██████████████████████████████████████████████████▎          | 165/200 [28:21<07:01, 12.05s/it] 83%|██████████████████████████████████████████████████▋          | 166/200 [28:29<06:01, 10.62s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 166 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [28:38<05:38, 10.25s/it] 84%|███████████████████████████████████████████████████▏         | 168/200 [28:44<04:51,  9.11s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 168 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [28:45<03:24,  6.60s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [28:53<03:32,  7.09s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 170 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [29:06<04:15,  8.81s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [29:13<03:52,  8.29s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 172 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 86%|████████████████████████████████████████████████████▊        | 173/200 [29:24<04:00,  8.90s/it] 87%|█████████████████████████████████████████████████████        | 174/200 [29:28<03:18,  7.63s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 174 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 88%|█████████████████████████████████████████████████████▍       | 175/200 [29:30<02:28,  5.95s/it] 88%|█████████████████████████████████████████████████████▋       | 176/200 [29:35<02:12,  5.51s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 176 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 88%|█████████████████████████████████████████████████████▉       | 177/200 [29:38<01:47,  4.68s/it] 89%|██████████████████████████████████████████████████████▎      | 178/200 [29:39<01:22,  3.74s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 178 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 90%|██████████████████████████████████████████████████████▌      | 179/200 [29:44<01:24,  4.04s/it] 90%|██████████████████████████████████████████████████████▉      | 180/200 [29:47<01:16,  3.81s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 180 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 90%|███████████████████████████████████████████████████████▏     | 181/200 [29:55<01:35,  5.01s/it] 91%|███████████████████████████████████████████████████████▌     | 182/200 [29:57<01:12,  4.03s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 182 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 92%|███████████████████████████████████████████████████████▊     | 183/200 [30:05<01:30,  5.34s/it] 92%|████████████████████████████████████████████████████████     | 184/200 [30:19<02:08,  8.03s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 184 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 92%|████████████████████████████████████████████████████████▍    | 185/200 [30:26<01:53,  7.60s/it] 93%|████████████████████████████████████████████████████████▋    | 186/200 [30:36<01:54,  8.20s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 186 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 94%|█████████████████████████████████████████████████████████    | 187/200 [30:43<01:42,  7.89s/it] 94%|█████████████████████████████████████████████████████████▎   | 188/200 [30:47<01:19,  6.67s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 188 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 94%|█████████████████████████████████████████████████████████▋   | 189/200 [30:55<01:19,  7.26s/it] 95%|█████████████████████████████████████████████████████████▉   | 190/200 [31:01<01:09,  6.96s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 190 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 96%|██████████████████████████████████████████████████████████▎  | 191/200 [31:14<01:17,  8.60s/it] 96%|██████████████████████████████████████████████████████████▌  | 192/200 [31:18<00:58,  7.28s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 192 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [31:24<00:47,  6.85s/it] 97%|███████████████████████████████████████████████████████████▏ | 194/200 [31:28<00:36,  6.11s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 194 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 98%|███████████████████████████████████████████████████████████▍ | 195/200 [31:33<00:28,  5.61s/it] 98%|███████████████████████████████████████████████████████████▊ | 196/200 [31:44<00:29,  7.43s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 196 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 98%|████████████████████████████████████████████████████████████ | 197/200 [32:00<00:29,  9.96s/it] 99%|████████████████████████████████████████████████████████████▍| 198/200 [32:09<00:19,  9.69s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 198 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
100%|████████████████████████████████████████████████████████████▋| 199/200 [32:17<00:09,  9.15s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [32:26<00:00,  8.96s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [32:26<00:00,  9.73s/it]
Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 200 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
Process ID: [2461869] | Exit
Process ID: [2461869] | Loading data from ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 0 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
  0%|▎                                                              | 1/200 [00:02<09:02,  2.72s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 2 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
  2%|▉                                                              | 3/200 [00:08<09:49,  2.99s/it]  2%|█▎                                                             | 4/200 [00:28<28:28,  8.72s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 4 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
  2%|█▌                                                             | 5/200 [00:32<23:11,  7.14s/it]  3%|█▉                                                             | 6/200 [00:46<30:15,  9.36s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 6 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
  4%|██▏                                                            | 7/200 [00:48<22:17,  6.93s/it]  4%|██▌                                                            | 8/200 [01:03<30:52,  9.65s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 8 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
  4%|██▊                                                            | 9/200 [01:16<33:37, 10.56s/it]  5%|███                                                           | 10/200 [01:20<27:13,  8.60s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 10 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
  6%|███▍                                                          | 11/200 [01:49<46:27, 14.75s/it]  6%|███▋                                                          | 12/200 [02:14<55:53, 17.84s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 12 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
  6%|████                                                          | 13/200 [02:16<40:50, 13.10s/it]  7%|████▎                                                         | 14/200 [02:17<29:45,  9.60s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 14 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
  8%|████▋                                                         | 15/200 [02:27<29:45,  9.65s/it]  8%|████▉                                                         | 16/200 [02:36<28:22,  9.25s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 16 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
  8%|█████▎                                                        | 17/200 [02:45<28:22,  9.30s/it]  9%|█████▌                                                        | 18/200 [02:56<29:37,  9.76s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 18 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 10%|██████▏                                                       | 20/200 [03:00<18:25,  6.14s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 20 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 10%|██████▌                                                       | 21/200 [03:19<27:58,  9.38s/it] 11%|██████▊                                                       | 22/200 [03:30<29:18,  9.88s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 22 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 12%|███████▏                                                      | 23/200 [03:55<41:09, 13.95s/it] 12%|███████▍                                                      | 24/200 [03:59<32:33, 11.10s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 24 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 12%|███████▊                                                      | 25/200 [04:02<26:02,  8.93s/it] 13%|████████                                                      | 26/200 [04:08<23:18,  8.04s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 26 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 14%|████████▋                                                     | 28/200 [04:13<15:43,  5.48s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 28 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 14%|████████▉                                                     | 29/200 [04:36<28:00,  9.83s/it] 15%|█████████▎                                                    | 30/200 [04:41<24:18,  8.58s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 30 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 16%|█████████▌                                                    | 31/200 [04:45<20:38,  7.33s/it] 16%|█████████▉                                                    | 32/200 [04:49<17:41,  6.32s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 32 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 16%|██████████▏                                                   | 33/200 [04:59<20:53,  7.50s/it] 17%|██████████▌                                                   | 34/200 [05:01<16:04,  5.81s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 34 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 18%|██████████▊                                                   | 35/200 [05:12<19:59,  7.27s/it] 18%|███████████▏                                                  | 36/200 [05:25<24:54,  9.11s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 36 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 18%|███████████▍                                                  | 37/200 [05:29<20:33,  7.57s/it] 19%|███████████▊                                                  | 38/200 [05:38<21:13,  7.86s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 38 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 20%|████████████                                                  | 39/200 [05:41<17:04,  6.36s/it] 20%|████████████▍                                                 | 40/200 [05:47<16:45,  6.28s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 40 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
Undetected judge: 6. Note: The statements related to fees and benefits may be subject to change and should be verified against the latest information available from PayPal.
 20%|████████████▋                                                 | 41/200 [05:58<21:02,  7.94s/it] 21%|█████████████                                                 | 42/200 [06:07<21:44,  8.25s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 42 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 22%|█████████████▎                                                | 43/200 [06:28<31:32, 12.06s/it] 22%|█████████████▋                                                | 44/200 [06:34<26:40, 10.26s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 44 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 22%|█████████████▉                                                | 45/200 [06:37<20:53,  8.09s/it] 23%|██████████████▎                                               | 46/200 [06:46<20:52,  8.13s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 46 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 24%|██████████████▌                                               | 47/200 [06:59<24:23,  9.56s/it] 24%|██████████████▉                                               | 48/200 [07:14<28:52, 11.40s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 48 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 24%|███████████████▏                                              | 49/200 [07:20<24:34,  9.77s/it] 25%|███████████████▌                                              | 50/200 [07:36<28:30, 11.41s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 50 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 26%|███████████████▊                                              | 51/200 [07:44<25:58, 10.46s/it] 26%|████████████████                                              | 52/200 [07:48<20:56,  8.49s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 52 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 26%|████████████████▍                                             | 53/200 [07:54<19:25,  7.93s/it] 27%|████████████████▋                                             | 54/200 [08:18<31:00, 12.74s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 54 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 28%|█████████████████                                             | 55/200 [08:20<22:35,  9.35s/it] 28%|█████████████████▎                                            | 56/200 [08:23<18:06,  7.55s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 56 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 28%|█████████████████▋                                            | 57/200 [08:32<18:47,  7.88s/it] 29%|█████████████████▉                                            | 58/200 [08:36<15:55,  6.73s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 58 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 30%|██████████████████▎                                           | 59/200 [08:47<18:44,  7.98s/it] 30%|██████████████████▌                                           | 60/200 [08:50<15:26,  6.62s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 60 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 30%|██████████████████▉                                           | 61/200 [09:06<21:32,  9.30s/it] 31%|███████████████████▏                                          | 62/200 [09:11<18:35,  8.09s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 62 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 32%|███████████████████▌                                          | 63/200 [09:22<20:41,  9.07s/it] 32%|███████████████████▊                                          | 64/200 [09:24<15:18,  6.76s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 64 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 32%|████████████████████▏                                         | 65/200 [09:27<12:43,  5.66s/it] 33%|████████████████████▍                                         | 66/200 [09:29<10:12,  4.57s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 66 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 34%|████████████████████▊                                         | 67/200 [09:56<25:31, 11.51s/it] 34%|█████████████████████                                         | 68/200 [10:02<21:17,  9.68s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 68 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 34%|█████████████████████▍                                        | 69/200 [10:07<18:26,  8.45s/it] 35%|█████████████████████▋                                        | 70/200 [10:14<17:21,  8.01s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 70 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 36%|██████████████████████                                        | 71/200 [10:32<23:09, 10.77s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 72 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 36%|██████████████████████▋                                       | 73/200 [10:44<18:32,  8.76s/it] 37%|██████████████████████▉                                       | 74/200 [10:47<15:18,  7.29s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 74 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 38%|███████████████████████▎                                      | 75/200 [10:53<14:19,  6.88s/it] 38%|███████████████████████▌                                      | 76/200 [11:00<14:24,  6.98s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 76 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 38%|███████████████████████▊                                      | 77/200 [11:05<13:08,  6.41s/it] 39%|████████████████████████▏                                     | 78/200 [11:15<14:55,  7.34s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 78 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 40%|████████████████████████▊                                     | 80/200 [11:19<10:10,  5.09s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 80 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 40%|█████████████████████████                                     | 81/200 [11:59<26:51, 13.54s/it] 41%|█████████████████████████▍                                    | 82/200 [12:03<21:41, 11.03s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 82 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 42%|█████████████████████████▋                                    | 83/200 [12:05<16:41,  8.56s/it] 42%|██████████████████████████                                    | 84/200 [12:28<24:23, 12.62s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 84 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 42%|██████████████████████████▎                                   | 85/200 [12:33<19:55, 10.39s/it] 43%|██████████████████████████▋                                   | 86/200 [12:37<16:27,  8.66s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 86 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 44%|██████████████████████████▉                                   | 87/200 [12:50<18:30,  9.83s/it] 44%|███████████████████████████▎                                  | 88/200 [12:55<15:28,  8.29s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 88 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 44%|███████████████████████████▌                                  | 89/200 [13:06<17:05,  9.24s/it] 45%|███████████████████████████▉                                  | 90/200 [13:14<16:25,  8.96s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 90 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 46%|████████████████████████████▌                                 | 92/200 [13:17<09:54,  5.51s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 92 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 46%|████████████████████████████▊                                 | 93/200 [13:22<09:29,  5.32s/it] 47%|█████████████████████████████▏                                | 94/200 [13:26<08:44,  4.95s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 94 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 48%|█████████████████████████████▍                                | 95/200 [13:33<09:49,  5.61s/it] 48%|█████████████████████████████▊                                | 96/200 [13:45<12:48,  7.39s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 96 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 48%|██████████████████████████████                                | 97/200 [13:55<13:57,  8.14s/it] 49%|██████████████████████████████▍                               | 98/200 [13:58<11:19,  6.66s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 98 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 50%|██████████████████████████████▋                               | 99/200 [14:03<09:59,  5.94s/it] 50%|██████████████████████████████▌                              | 100/200 [14:07<09:00,  5.41s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 100 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 50%|██████████████████████████████▊                              | 101/200 [14:13<09:33,  5.79s/it] 51%|███████████████████████████████                              | 102/200 [14:20<09:52,  6.05s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 102 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 52%|███████████████████████████████▍                             | 103/200 [14:39<16:10, 10.01s/it] 52%|███████████████████████████████▋                             | 104/200 [14:44<13:35,  8.50s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 104 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 52%|████████████████████████████████                             | 105/200 [14:53<13:36,  8.59s/it] 53%|████████████████████████████████▎                            | 106/200 [14:56<10:40,  6.82s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 106 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 54%|████████████████████████████████▋                            | 107/200 [14:58<08:16,  5.34s/it] 54%|████████████████████████████████▉                            | 108/200 [14:59<06:22,  4.16s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 108 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 55%|█████████████████████████████████▏                           | 109/200 [15:19<13:16,  8.75s/it] 55%|█████████████████████████████████▌                           | 110/200 [15:26<12:22,  8.25s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 110 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 56%|█████████████████████████████████▊                           | 111/200 [15:46<17:34, 11.85s/it] 56%|██████████████████████████████████▏                          | 112/200 [15:48<13:05,  8.92s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 112 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 56%|██████████████████████████████████▍                          | 113/200 [16:05<16:30, 11.38s/it] 57%|██████████████████████████████████▊                          | 114/200 [16:21<18:04, 12.61s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 114 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 57%|███████████████████████████████████                          | 115/200 [16:36<18:56, 13.37s/it] 58%|███████████████████████████████████▍                         | 116/200 [16:38<13:58,  9.98s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 116 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
