Process ID: [2421853] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2421853] | Loading data from ./prompt_response/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2421853] | Loading exist data from ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json | Total 0
   0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
   0%|▎                                                              | 1/200 [00:12<42:09, 12.71s/it]   1%|▋                                                              | 2/200 [00:19<30:26,  9.23s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 20%|████████████▋                                                 | 41/200 [06:49<28:26, 10.73s/it] 21%|█████████████                                                 | 42/200 [07:05<32:44, 12.43s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 42 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 22%|█████████████▎                                                | 43/200 [07:12<28:14, 10.79s/it] 22%|█████████████▋                                                | 44/200 [07:28<31:58, 12.30s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 44 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 22%|█████████████▉                                                | 45/200 [07:37<29:23, 11.38s/it] 23%|██████████████▎                                               | 46/200 [07:49<29:37, 11.54s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 46 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 24%|██████████████▌                                               | 47/200 [08:06<33:13, 13.03s/it] 24%|██████████████▉                                               | 48/200 [08:20<34:08, 13.48s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 48 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 24%|███████████████▏                                              | 49/200 [08:31<31:47, 12.63s/it] 25%|███████████████▌                                              | 50/200 [08:47<34:21, 13.74s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 50 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 26%|███████████████▊                                              | 51/200 [08:57<31:11, 12.56s/it] 26%|████████████████                                              | 52/200 [09:09<30:35, 12.40s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 52 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 26%|████████████████▍                                             | 53/200 [09:34<39:40, 16.20s/it] 27%|████████████████▋                                             | 54/200 [09:46<36:06, 14.84s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 54 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 28%|█████████████████                                             | 55/200 [09:54<31:05, 12.87s/it] 28%|█████████████████▎                                            | 56/200 [10:03<27:44, 11.56s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 56 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 28%|█████████████████▋                                            | 57/200 [10:12<26:05, 10.95s/it] 29%|█████████████████▉                                            | 58/200 [10:23<25:27, 10.76s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 58 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 30%|██████████████████▎                                           | 59/200 [10:33<25:16, 10.76s/it] 30%|██████████████████▌                                           | 60/200 [10:42<23:56, 10.26s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 60 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 30%|██████████████████▉                                           | 61/200 [11:00<28:44, 12.41s/it] 31%|███████████████████▏                                          | 62/200 [11:01<20:50,  9.06s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 62 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 32%|███████████████████▌                                          | 63/200 [11:14<23:03, 10.10s/it] 32%|███████████████████▊                                          | 64/200 [11:27<25:04, 11.07s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 64 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 32%|████████████████████▏                                         | 65/200 [11:34<22:30, 10.00s/it] 33%|████████████████████▍                                         | 66/200 [11:45<22:43, 10.17s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 66 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 34%|████████████████████▊                                         | 67/200 [11:55<22:34, 10.18s/it] 34%|█████████████████████                                         | 68/200 [12:06<22:38, 10.29s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 68 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 34%|█████████████████████▍                                        | 69/200 [12:19<24:37, 11.28s/it] 35%|█████████████████████▋                                        | 70/200 [12:28<22:36, 10.44s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 70 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 36%|██████████████████████                                        | 71/200 [12:36<20:51,  9.70s/it] 36%|██████████████████████▎                                       | 72/200 [12:46<21:18,  9.99s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 72 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 36%|██████████████████████▋                                       | 73/200 [12:54<19:49,  9.37s/it] 37%|██████████████████████▉                                       | 74/200 [12:55<14:23,  6.86s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 74 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 38%|███████████████████████▎                                      | 75/200 [13:04<15:38,  7.51s/it] 38%|███████████████████████▌                                      | 76/200 [13:14<16:32,  8.00s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 76 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 38%|███████████████████████▊                                      | 77/200 [13:29<20:57, 10.22s/it] 39%|████████████████████████▏                                     | 78/200 [13:36<19:03,  9.38s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 78 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 40%|████████████████████████▍                                     | 79/200 [13:46<19:15,  9.55s/it] 40%|████████████████████████▊                                     | 80/200 [13:58<20:37, 10.31s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 80 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 40%|█████████████████████████                                     | 81/200 [14:09<20:29, 10.34s/it] 41%|█████████████████████████▍                                    | 82/200 [14:16<18:46,  9.54s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 82 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 42%|█████████████████████████▋                                    | 83/200 [14:32<22:22, 11.48s/it] 42%|██████████████████████████                                    | 84/200 [14:47<23:56, 12.38s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 84 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 42%|██████████████████████████▎                                   | 85/200 [14:53<20:13, 10.55s/it] 43%|██████████████████████████▋                                   | 86/200 [15:05<20:39, 10.87s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 86 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 44%|██████████████████████████▉                                   | 87/200 [15:09<16:39,  8.84s/it] 44%|███████████████████████████▎                                  | 88/200 [15:19<17:07,  9.17s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 88 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 44%|███████████████████████████▌                                  | 89/200 [15:29<17:30,  9.47s/it] 45%|███████████████████████████▉                                  | 90/200 [15:38<17:20,  9.46s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 90 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 46%|████████████████████████████▏                                 | 91/200 [15:52<19:38, 10.81s/it] 46%|████████████████████████████▌                                 | 92/200 [16:14<25:17, 14.05s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 92 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 46%|████████████████████████████▊                                 | 93/200 [16:25<23:19, 13.08s/it] 47%|█████████████████████████████▏                                | 94/200 [16:38<22:55, 12.97s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 94 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 48%|█████████████████████████████▍                                | 95/200 [16:53<24:01, 13.72s/it] 48%|█████████████████████████████▊                                | 96/200 [17:02<21:24, 12.35s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 96 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 48%|██████████████████████████████                                | 97/200 [17:10<18:48, 10.96s/it] 49%|██████████████████████████████▍                               | 98/200 [17:18<16:55,  9.96s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 98 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 50%|██████████████████████████████▋                               | 99/200 [17:29<17:18, 10.28s/it] 50%|██████████████████████████████▌                              | 100/200 [17:35<15:26,  9.26s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 100 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 50%|██████████████████████████████▊                              | 101/200 [17:45<15:29,  9.39s/it] 51%|███████████████████████████████                              | 102/200 [17:54<15:12,  9.31s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 102 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 52%|███████████████████████████████▍                             | 103/200 [18:04<15:24,  9.53s/it] 52%|███████████████████████████████▋                             | 104/200 [18:14<15:25,  9.64s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 104 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 52%|████████████████████████████████                             | 105/200 [18:23<14:39,  9.26s/it] 53%|████████████████████████████████▎                            | 106/200 [18:26<11:40,  7.46s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 106 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 54%|████████████████████████████████▋                            | 107/200 [18:36<12:53,  8.32s/it] 54%|████████████████████████████████▉                            | 108/200 [18:45<13:08,  8.57s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 108 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 55%|█████████████████████████████████▏                           | 109/200 [19:01<16:13, 10.69s/it] 55%|█████████████████████████████████▌                           | 110/200 [19:18<18:55, 12.62s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 110 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 56%|█████████████████████████████████▊                           | 111/200 [19:33<19:37, 13.23s/it] 56%|██████████████████████████████████▏                          | 112/200 [19:51<21:31, 14.68s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 112 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 56%|██████████████████████████████████▍                          | 113/200 [20:05<21:03, 14.52s/it] 57%|██████████████████████████████████▊                          | 114/200 [20:22<22:00, 15.36s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 114 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 57%|███████████████████████████████████                          | 115/200 [20:40<22:42, 16.03s/it] 58%|███████████████████████████████████▍                         | 116/200 [20:51<20:29, 14.64s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 116 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 58%|███████████████████████████████████▋                         | 117/200 [21:02<18:38, 13.48s/it] 59%|███████████████████████████████████▉                         | 118/200 [21:19<19:41, 14.41s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 118 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 60%|████████████████████████████████████▎                        | 119/200 [21:29<17:37, 13.06s/it] 60%|████████████████████████████████████▌                        | 120/200 [21:39<16:22, 12.28s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 120 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 60%|████████████████████████████████████▉                        | 121/200 [21:45<13:38, 10.36s/it] 61%|█████████████████████████████████████▏                       | 122/200 [21:54<12:58,  9.99s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 122 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 62%|█████████████████████████████████████▌                       | 123/200 [22:05<13:06, 10.22s/it] 62%|█████████████████████████████████████▊                       | 124/200 [22:14<12:30,  9.87s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 124 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 62%|██████████████████████████████████████▏                      | 125/200 [22:30<14:40, 11.74s/it] 63%|██████████████████████████████████████▍                      | 126/200 [22:39<13:37, 11.04s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 126 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 64%|██████████████████████████████████████▋                      | 127/200 [22:56<15:31, 12.76s/it] 64%|███████████████████████████████████████                      | 128/200 [23:03<13:18, 11.08s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 128 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 64%|███████████████████████████████████████▎                     | 129/200 [23:21<15:24, 13.02s/it] 65%|███████████████████████████████████████▋                     | 130/200 [23:32<14:24, 12.36s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 130 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 66%|███████████████████████████████████████▉                     | 131/200 [23:41<13:03, 11.35s/it] 66%|████████████████████████████████████████▎                    | 132/200 [23:54<13:27, 11.88s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 132 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 66%|████████████████████████████████████████▌                    | 133/200 [24:01<11:38, 10.42s/it] 67%|████████████████████████████████████████▊                    | 134/200 [24:02<08:22,  7.61s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 134 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 68%|█████████████████████████████████████████▏                   | 135/200 [24:13<09:22,  8.65s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [24:24<09:53,  9.28s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 136 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 68%|█████████████████████████████████████████▊                   | 137/200 [24:36<10:49, 10.30s/it] 69%|██████████████████████████████████████████                   | 138/200 [24:55<13:10, 12.76s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 138 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 70%|██████████████████████████████████████████▍                  | 139/200 [25:08<13:06, 12.90s/it] 70%|██████████████████████████████████████████▋                  | 140/200 [25:21<12:56, 12.94s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 140 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 70%|███████████████████████████████████████████                  | 141/200 [25:30<11:33, 11.76s/it] 71%|███████████████████████████████████████████▎                 | 142/200 [25:40<10:57, 11.34s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 142 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 72%|███████████████████████████████████████████▌                 | 143/200 [25:49<09:57, 10.49s/it] 72%|███████████████████████████████████████████▉                 | 144/200 [26:05<11:28, 12.29s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 144 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 72%|████████████████████████████████████████████▏                | 145/200 [26:17<10:56, 11.93s/it] 73%|████████████████████████████████████████████▌                | 146/200 [26:47<15:51, 17.62s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 146 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 74%|████████████████████████████████████████████▊                | 147/200 [27:02<14:50, 16.79s/it] 74%|█████████████████████████████████████████████▏               | 148/200 [27:16<13:41, 15.81s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 148 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 74%|█████████████████████████████████████████████▍               | 149/200 [27:26<11:57, 14.07s/it] 75%|█████████████████████████████████████████████▊               | 150/200 [27:37<10:59, 13.19s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 150 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 76%|██████████████████████████████████████████████               | 151/200 [27:50<10:45, 13.17s/it] 76%|██████████████████████████████████████████████▎              | 152/200 [27:57<09:00, 11.27s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 152 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 76%|██████████████████████████████████████████████▋              | 153/200 [28:07<08:34, 10.94s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [28:21<09:04, 11.83s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 154 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 78%|███████████████████████████████████████████████▎             | 155/200 [28:40<10:27, 13.95s/it] 78%|███████████████████████████████████████████████▌             | 156/200 [28:53<09:57, 13.58s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 156 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 78%|███████████████████████████████████████████████▉             | 157/200 [29:13<11:10, 15.59s/it] 79%|████████████████████████████████████████████████▏            | 158/200 [29:25<10:10, 14.54s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 158 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 80%|████████████████████████████████████████████████▍            | 159/200 [29:44<10:57, 16.03s/it] 80%|████████████████████████████████████████████████▊            | 160/200 [29:50<08:35, 12.89s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 160 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 80%|█████████████████████████████████████████████████            | 161/200 [30:01<08:00, 12.32s/it] 81%|█████████████████████████████████████████████████▍           | 162/200 [30:13<07:39, 12.10s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 162 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 82%|█████████████████████████████████████████████████▋           | 163/200 [30:14<05:27,  8.84s/it] 82%|██████████████████████████████████████████████████           | 164/200 [30:22<05:13,  8.72s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 164 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 82%|██████████████████████████████████████████████████▎          | 165/200 [30:33<05:24,  9.27s/it] 83%|██████████████████████████████████████████████████▋          | 166/200 [30:44<05:29,  9.70s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 166 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [30:51<04:56,  8.99s/it] 84%|███████████████████████████████████████████████████▏         | 168/200 [30:52<03:32,  6.65s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 168 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [31:01<03:50,  7.45s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [31:15<04:40,  9.36s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 170 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [31:29<05:11, 10.75s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [31:38<04:44, 10.15s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 172 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 86%|████████████████████████████████████████████████████▊        | 173/200 [31:51<04:59, 11.08s/it] 87%|█████████████████████████████████████████████████████        | 174/200 [32:00<04:30, 10.42s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 174 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 88%|█████████████████████████████████████████████████████▍       | 175/200 [32:13<04:36, 11.05s/it] 88%|█████████████████████████████████████████████████████▋       | 176/200 [32:25<04:35, 11.49s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 176 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 88%|█████████████████████████████████████████████████████▉       | 177/200 [32:37<04:26, 11.57s/it] 89%|██████████████████████████████████████████████████████▎      | 178/200 [32:50<04:21, 11.89s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 178 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 90%|██████████████████████████████████████████████████████▌      | 179/200 [33:02<04:15, 12.17s/it] 90%|██████████████████████████████████████████████████████▉      | 180/200 [33:16<04:10, 12.52s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 180 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 90%|███████████████████████████████████████████████████████▏     | 181/200 [33:28<03:55, 12.39s/it] 91%|███████████████████████████████████████████████████████▌     | 182/200 [33:35<03:14, 10.83s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 182 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 92%|███████████████████████████████████████████████████████▊     | 183/200 [33:47<03:11, 11.25s/it] 92%|████████████████████████████████████████████████████████     | 184/200 [34:00<03:06, 11.67s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 184 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 92%|████████████████████████████████████████████████████████▍    | 185/200 [34:12<02:58, 11.91s/it] 93%|████████████████████████████████████████████████████████▋    | 186/200 [34:24<02:43, 11.70s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 186 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 94%|█████████████████████████████████████████████████████████    | 187/200 [34:30<02:12, 10.20s/it] 94%|█████████████████████████████████████████████████████████▎   | 188/200 [34:39<01:56,  9.74s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 188 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 94%|█████████████████████████████████████████████████████████▋   | 189/200 [34:52<01:59, 10.90s/it] 95%|█████████████████████████████████████████████████████████▉   | 190/200 [35:03<01:48, 10.83s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 190 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 96%|██████████████████████████████████████████████████████████▎  | 191/200 [35:04<01:10,  7.85s/it] 96%|██████████████████████████████████████████████████████████▌  | 192/200 [35:16<01:12,  9.08s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 192 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [35:28<01:08,  9.82s/it] 97%|███████████████████████████████████████████████████████████▏ | 194/200 [35:35<00:55,  9.19s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 194 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 98%|███████████████████████████████████████████████████████████▍ | 195/200 [35:45<00:46,  9.38s/it] 98%|███████████████████████████████████████████████████████████▊ | 196/200 [36:02<00:46, 11.69s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 196 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 98%|████████████████████████████████████████████████████████████ | 197/200 [36:11<00:32, 10.84s/it] 99%|████████████████████████████████████████████████████████████▍| 198/200 [36:22<00:21, 10.81s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 198 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
100%|████████████████████████████████████████████████████████████▋| 199/200 [36:32<00:10, 10.77s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [36:38<00:00,  9.32s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [36:38<00:00, 10.99s/it]
Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Finance | Saving 200 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
Process ID: [2421853] | Exit
Process ID: [2421853] | Loading data from ./prompt_response/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Science | Saving 0 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
