Process ID: [2421855] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/human_detailed/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2421855] | Loading data from ./prompt_response/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2421855] | Loading exist data from ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 14
   0%|                                                                       | 0/186 [00:00<?, ?it/s]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 14 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
   1%|▎                                                              | 1/186 [00:10<31:37, 10.26s/it]   1%|▋                                                              | 2/186 [00:24<38:13, 12.46s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 16 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 42%|█████████████████████████▋                                    | 83/200 [13:48<23:00, 11.80s/it] 42%|██████████████████████████                                    | 84/200 [13:58<22:05, 11.43s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 84 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 42%|██████████████████████████▎                                   | 85/200 [14:11<22:24, 11.69s/it] 43%|██████████████████████████▋                                   | 86/200 [14:19<19:59, 10.52s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 86 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 44%|██████████████████████████▉                                   | 87/200 [14:27<18:38,  9.90s/it] 44%|███████████████████████████▎                                  | 88/200 [14:40<20:25, 10.95s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 88 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 44%|███████████████████████████▌                                  | 89/200 [14:56<23:02, 12.46s/it] 45%|███████████████████████████▉                                  | 90/200 [15:03<19:24, 10.58s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 90 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 46%|████████████████████████████▏                                 | 91/200 [15:04<14:21,  7.90s/it] 46%|████████████████████████████▌                                 | 92/200 [15:16<16:04,  8.93s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 92 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 46%|████████████████████████████▊                                 | 93/200 [15:23<15:11,  8.52s/it] 47%|█████████████████████████████▏                                | 94/200 [15:35<16:58,  9.60s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 94 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 48%|█████████████████████████████▍                                | 95/200 [15:45<17:00,  9.72s/it] 48%|█████████████████████████████▊                                | 96/200 [15:52<15:32,  8.97s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 96 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 48%|██████████████████████████████                                | 97/200 [16:00<14:35,  8.50s/it] 49%|██████████████████████████████▍                               | 98/200 [16:09<14:52,  8.75s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 98 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 50%|██████████████████████████████▋                               | 99/200 [16:18<14:50,  8.82s/it] 50%|██████████████████████████████▌                              | 100/200 [16:27<14:51,  8.91s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 100 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 50%|██████████████████████████████▊                              | 101/200 [16:37<15:12,  9.22s/it] 51%|███████████████████████████████                              | 102/200 [16:57<20:17, 12.42s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 102 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 52%|███████████████████████████████▍                             | 103/200 [17:08<19:21, 11.97s/it] 52%|███████████████████████████████▋                             | 104/200 [17:18<18:10, 11.36s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 104 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 52%|████████████████████████████████                             | 105/200 [17:33<19:33, 12.35s/it] 53%|████████████████████████████████▎                            | 106/200 [17:40<17:07, 10.93s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 106 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 54%|████████████████████████████████▋                            | 107/200 [17:50<16:10, 10.43s/it] 54%|████████████████████████████████▉                            | 108/200 [17:56<14:00,  9.14s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 108 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 55%|█████████████████████████████████▏                           | 109/200 [18:09<15:34, 10.27s/it] 55%|█████████████████████████████████▌                           | 110/200 [18:17<14:29,  9.67s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 110 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 56%|█████████████████████████████████▊                           | 111/200 [18:35<17:55, 12.09s/it] 56%|██████████████████████████████████▏                          | 112/200 [18:44<16:28, 11.24s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 112 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 56%|██████████████████████████████████▍                          | 113/200 [18:53<15:30, 10.69s/it] 57%|██████████████████████████████████▊                          | 114/200 [19:04<15:29, 10.81s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 114 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 57%|███████████████████████████████████                          | 115/200 [19:14<14:48, 10.45s/it] 58%|███████████████████████████████████▍                         | 116/200 [19:24<14:29, 10.35s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 116 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 58%|███████████████████████████████████▋                         | 117/200 [19:39<16:20, 11.82s/it] 59%|███████████████████████████████████▉                         | 118/200 [19:50<15:46, 11.54s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 118 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 60%|████████████████████████████████████▎                        | 119/200 [19:59<14:15, 10.56s/it] 60%|████████████████████████████████████▌                        | 120/200 [20:10<14:35, 10.94s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 120 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 60%|████████████████████████████████████▉                        | 121/200 [20:18<13:15, 10.07s/it] 61%|█████████████████████████████████████▏                       | 122/200 [20:33<14:48, 11.40s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 122 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 62%|█████████████████████████████████████▌                       | 123/200 [20:40<12:47,  9.97s/it] 62%|█████████████████████████████████████▊                       | 124/200 [20:46<11:08,  8.80s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 124 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 62%|██████████████████████████████████████▏                      | 125/200 [21:01<13:19, 10.67s/it] 63%|██████████████████████████████████████▍                      | 126/200 [21:13<13:59, 11.34s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 126 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 64%|██████████████████████████████████████▋                      | 127/200 [21:27<14:29, 11.92s/it] 64%|███████████████████████████████████████                      | 128/200 [21:39<14:24, 12.01s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 128 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 64%|███████████████████████████████████████▎                     | 129/200 [21:59<16:59, 14.35s/it] 65%|███████████████████████████████████████▋                     | 130/200 [22:06<14:24, 12.35s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 130 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 66%|███████████████████████████████████████▉                     | 131/200 [22:24<16:02, 13.95s/it] 66%|████████████████████████████████████████▎                    | 132/200 [22:34<14:29, 12.78s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 132 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 66%|████████████████████████████████████████▌                    | 133/200 [22:45<13:39, 12.23s/it] 67%|████████████████████████████████████████▊                    | 134/200 [22:57<13:11, 11.99s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 134 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 68%|█████████████████████████████████████████▏                   | 135/200 [23:08<12:47, 11.81s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [23:17<11:43, 10.99s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 136 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 68%|█████████████████████████████████████████▊                   | 137/200 [23:26<10:58, 10.45s/it] 69%|██████████████████████████████████████████                   | 138/200 [23:38<11:09, 10.80s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 138 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 70%|██████████████████████████████████████████▍                  | 139/200 [23:43<09:07,  8.98s/it] 70%|██████████████████████████████████████████▋                  | 140/200 [23:55<10:07, 10.12s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 140 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 70%|███████████████████████████████████████████                  | 141/200 [24:02<08:55,  9.08s/it] 71%|███████████████████████████████████████████▎                 | 142/200 [24:14<09:37,  9.96s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 142 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 72%|███████████████████████████████████████████▌                 | 143/200 [24:27<10:13, 10.76s/it] 72%|███████████████████████████████████████████▉                 | 144/200 [24:27<07:15,  7.78s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 144 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 72%|████████████████████████████████████████████▏                | 145/200 [24:29<05:18,  5.79s/it] 73%|████████████████████████████████████████████▌                | 146/200 [24:42<07:14,  8.05s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 146 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 74%|████████████████████████████████████████████▊                | 147/200 [24:53<07:47,  8.81s/it] 74%|█████████████████████████████████████████████▏               | 148/200 [25:02<07:44,  8.92s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 148 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 74%|█████████████████████████████████████████████▍               | 149/200 [25:20<10:02, 11.82s/it] 75%|█████████████████████████████████████████████▊               | 150/200 [25:41<12:04, 14.49s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 150 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 76%|██████████████████████████████████████████████               | 151/200 [25:47<09:43, 11.92s/it] 76%|██████████████████████████████████████████████▎              | 152/200 [25:54<08:28, 10.59s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 152 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 76%|██████████████████████████████████████████████▋              | 153/200 [26:06<08:29, 10.83s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [26:15<08:02, 10.48s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 154 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 78%|███████████████████████████████████████████████▎             | 155/200 [26:22<07:01,  9.36s/it] 78%|███████████████████████████████████████████████▌             | 156/200 [26:38<08:20, 11.38s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 156 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 78%|███████████████████████████████████████████████▉             | 157/200 [26:54<09:06, 12.71s/it] 79%|████████████████████████████████████████████████▏            | 158/200 [27:04<08:21, 11.95s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 158 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 80%|████████████████████████████████████████████████▍            | 159/200 [27:18<08:25, 12.32s/it] 80%|████████████████████████████████████████████████▊            | 160/200 [27:23<06:56, 10.41s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 160 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 80%|█████████████████████████████████████████████████            | 161/200 [27:34<06:49, 10.50s/it] 81%|█████████████████████████████████████████████████▍           | 162/200 [27:43<06:20, 10.02s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 162 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 82%|█████████████████████████████████████████████████▋           | 163/200 [27:55<06:28, 10.51s/it] 82%|██████████████████████████████████████████████████           | 164/200 [28:08<06:44, 11.24s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 164 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 82%|██████████████████████████████████████████████████▎          | 165/200 [28:09<04:44,  8.13s/it] 83%|██████████████████████████████████████████████████▋          | 166/200 [28:10<03:25,  6.05s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 166 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [28:19<03:50,  6.99s/it] 84%|███████████████████████████████████████████████████▏         | 168/200 [28:31<04:31,  8.47s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 168 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [28:43<04:56,  9.56s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [29:00<05:54, 11.82s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 170 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [29:10<05:24, 11.19s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [29:20<05:04, 10.86s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 172 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 86%|████████████████████████████████████████████████████▊        | 173/200 [29:32<05:02, 11.20s/it] 87%|█████████████████████████████████████████████████████        | 174/200 [29:42<04:44, 10.94s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 174 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 88%|█████████████████████████████████████████████████████▍       | 175/200 [29:53<04:31, 10.87s/it] 88%|█████████████████████████████████████████████████████▋       | 176/200 [30:01<03:58,  9.94s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 176 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 88%|█████████████████████████████████████████████████████▉       | 177/200 [30:16<04:27, 11.61s/it] 89%|██████████████████████████████████████████████████████▎      | 178/200 [30:25<03:55, 10.69s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 178 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 90%|██████████████████████████████████████████████████████▌      | 179/200 [30:36<03:46, 10.77s/it] 90%|██████████████████████████████████████████████████████▉      | 180/200 [30:40<02:55,  8.79s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 180 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 90%|███████████████████████████████████████████████████████▏     | 181/200 [30:41<02:04,  6.54s/it] 91%|███████████████████████████████████████████████████████▌     | 182/200 [30:55<02:37,  8.73s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 182 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 92%|███████████████████████████████████████████████████████▊     | 183/200 [31:04<02:28,  8.71s/it] 92%|████████████████████████████████████████████████████████     | 184/200 [31:16<02:37,  9.84s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 184 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 92%|████████████████████████████████████████████████████████▍    | 185/200 [31:33<02:58, 11.90s/it] 93%|████████████████████████████████████████████████████████▋    | 186/200 [31:41<02:32, 10.86s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 186 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 94%|█████████████████████████████████████████████████████████    | 187/200 [31:51<02:15, 10.41s/it] 94%|█████████████████████████████████████████████████████████▎   | 188/200 [32:05<02:18, 11.55s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 188 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 94%|█████████████████████████████████████████████████████████▋   | 189/200 [32:13<01:55, 10.48s/it] 95%|█████████████████████████████████████████████████████████▉   | 190/200 [32:25<01:49, 10.93s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 190 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 96%|██████████████████████████████████████████████████████████▎  | 191/200 [32:31<01:24,  9.43s/it] 96%|██████████████████████████████████████████████████████████▌  | 192/200 [32:47<01:32, 11.62s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 192 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [32:59<01:21, 11.68s/it] 97%|███████████████████████████████████████████████████████████▏ | 194/200 [33:10<01:07, 11.31s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 194 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 98%|███████████████████████████████████████████████████████████▍ | 195/200 [33:18<00:51, 10.38s/it] 98%|███████████████████████████████████████████████████████████▊ | 196/200 [33:26<00:38,  9.74s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 196 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 98%|████████████████████████████████████████████████████████████ | 197/200 [33:34<00:27,  9.09s/it] 99%|████████████████████████████████████████████████████████████▍| 198/200 [33:45<00:19,  9.70s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 198 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
100%|████████████████████████████████████████████████████████████▋| 199/200 [33:54<00:09,  9.60s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [34:09<00:00, 11.25s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [34:09<00:00, 10.25s/it]
Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Finance | Saving 200 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
Process ID: [2421855] | Exit
Process ID: [2421855] | Loading data from ./prompt_response/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 0 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
  0%|▎                                                              | 1/200 [00:15<51:46, 15.61s/it]  1%|▋                                                              | 2/200 [00:30<49:09, 14.90s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 2 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
  2%|▉                                                              | 3/200 [00:42<44:49, 13.65s/it]  2%|█▎                                                             | 4/200 [00:54<42:38, 13.05s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 4 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
  2%|█▌                                                             | 5/200 [01:07<42:02, 12.94s/it]  3%|█▉                                                             | 6/200 [01:27<49:37, 15.35s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 6 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
  4%|██▏                                                            | 7/200 [01:43<50:02, 15.55s/it]  4%|██▌                                                            | 8/200 [01:54<46:04, 14.40s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 8 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
  4%|██▊                                                            | 9/200 [02:08<45:23, 14.26s/it]  5%|███                                                           | 10/200 [02:21<43:22, 13.70s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 10 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
  6%|███▍                                                          | 11/200 [02:28<37:08, 11.79s/it]  6%|███▋                                                          | 12/200 [02:39<36:15, 11.57s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 12 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
  6%|████                                                          | 13/200 [02:53<38:10, 12.25s/it]  7%|████▎                                                         | 14/200 [03:05<37:26, 12.08s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 14 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
  8%|████▋                                                         | 15/200 [03:27<46:58, 15.23s/it]  8%|████▉                                                         | 16/200 [03:48<51:11, 16.69s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 16 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
  8%|█████▎                                                        | 17/200 [04:05<51:28, 16.88s/it]  9%|█████▌                                                        | 18/200 [04:23<52:46, 17.40s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 18 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 10%|█████▉                                                        | 19/200 [04:36<47:51, 15.86s/it] 10%|██████▏                                                       | 20/200 [04:47<43:17, 14.43s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 20 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 10%|██████▌                                                       | 21/200 [04:54<36:59, 12.40s/it] 11%|██████▊                                                       | 22/200 [05:07<36:31, 12.31s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 22 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 12%|███████▏                                                      | 23/200 [05:19<36:13, 12.28s/it] 12%|███████▍                                                      | 24/200 [05:29<33:48, 11.53s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 24 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 12%|███████▊                                                      | 25/200 [05:40<33:38, 11.53s/it] 13%|████████                                                      | 26/200 [05:59<39:34, 13.65s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 26 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 14%|████████▎                                                     | 27/200 [06:11<37:55, 13.15s/it] 14%|████████▋                                                     | 28/200 [06:34<46:22, 16.18s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 28 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 14%|████████▉                                                     | 29/200 [06:51<46:41, 16.38s/it] 15%|█████████▎                                                    | 30/200 [07:02<41:52, 14.78s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 30 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 16%|█████████▌                                                    | 31/200 [07:12<38:09, 13.55s/it] 16%|█████████▉                                                    | 32/200 [07:25<37:26, 13.37s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 32 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 16%|██████████▏                                                   | 33/200 [07:36<34:29, 12.39s/it] 17%|██████████▌                                                   | 34/200 [07:55<39:55, 14.43s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 34 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 18%|██████████▊                                                   | 35/200 [08:08<38:49, 14.12s/it] 18%|███████████▏                                                  | 36/200 [08:18<35:09, 12.86s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 36 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 18%|███████████▍                                                  | 37/200 [08:29<33:43, 12.41s/it] 19%|███████████▊                                                  | 38/200 [08:48<38:22, 14.21s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 38 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 20%|████████████                                                  | 39/200 [09:02<38:03, 14.19s/it] 20%|████████████▍                                                 | 40/200 [09:14<35:45, 13.41s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 40 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 20%|████████████▋                                                 | 41/200 [09:26<34:54, 13.18s/it] 21%|█████████████                                                 | 42/200 [09:41<35:49, 13.61s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 42 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 22%|█████████████▎                                                | 43/200 [09:48<30:35, 11.69s/it] 22%|█████████████▋                                                | 44/200 [10:02<31:59, 12.30s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 44 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 22%|█████████████▉                                                | 45/200 [10:15<32:26, 12.56s/it] 23%|██████████████▎                                               | 46/200 [10:31<34:37, 13.49s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 46 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
