Process ID: [2421854] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/refine-q/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2421854] | Loading data from ./prompt_response/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2421854] | Loading exist data from ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json | Total 2
  0%|                                                                       | 0/198 [00:00<?, ?it/s]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
  1%|▎                                                              | 1/198 [00:09<32:35,  9.93s/it]  1%|▋                                                              | 2/198 [00:20<33:19, 10.20s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 4 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 79%|████████████████████████████████████████████████▎            | 157/198 [24:08<07:34, 11.10s/it] 80%|████████████████████████████████████████████████▋            | 158/198 [24:16<06:47, 10.19s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 160 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 80%|████████████████████████████████████████████████▉            | 159/198 [24:25<06:22,  9.81s/it] 81%|█████████████████████████████████████████████████▎           | 160/198 [24:40<07:13, 11.40s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 162 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 81%|█████████████████████████████████████████████████▌           | 161/198 [24:53<07:19, 11.88s/it] 82%|█████████████████████████████████████████████████▉           | 162/198 [25:03<06:44, 11.24s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 164 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 82%|██████████████████████████████████████████████████▏          | 163/198 [25:10<05:50, 10.01s/it] 83%|██████████████████████████████████████████████████▌          | 164/198 [25:24<06:19, 11.17s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 166 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 83%|██████████████████████████████████████████████████▊          | 165/198 [25:31<05:29, 10.00s/it] 84%|███████████████████████████████████████████████████▏         | 166/198 [25:36<04:27,  8.36s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 168 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 84%|███████████████████████████████████████████████████▍         | 167/198 [25:45<04:31,  8.76s/it] 85%|███████████████████████████████████████████████████▊         | 168/198 [25:56<04:41,  9.38s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 170 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 85%|████████████████████████████████████████████████████         | 169/198 [26:03<04:08,  8.57s/it] 86%|████████████████████████████████████████████████████▎        | 170/198 [26:14<04:19,  9.27s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 172 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 86%|████████████████████████████████████████████████████▋        | 171/198 [26:21<03:54,  8.69s/it] 87%|████████████████████████████████████████████████████▉        | 172/198 [26:32<04:03,  9.38s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 174 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 87%|█████████████████████████████████████████████████████▎       | 173/198 [26:42<03:57,  9.49s/it] 88%|█████████████████████████████████████████████████████▌       | 174/198 [26:45<03:01,  7.54s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 176 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 88%|█████████████████████████████████████████████████████▉       | 175/198 [26:59<03:37,  9.47s/it] 89%|██████████████████████████████████████████████████████▏      | 176/198 [27:04<03:03,  8.34s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 178 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 89%|██████████████████████████████████████████████████████▌      | 177/198 [27:06<02:11,  6.27s/it] 90%|██████████████████████████████████████████████████████▊      | 178/198 [27:19<02:45,  8.29s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 180 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 90%|███████████████████████████████████████████████████████▏     | 179/198 [27:28<02:40,  8.45s/it] 91%|███████████████████████████████████████████████████████▍     | 180/198 [27:29<01:51,  6.20s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 182 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 91%|███████████████████████████████████████████████████████▊     | 181/198 [27:33<01:35,  5.64s/it] 92%|████████████████████████████████████████████████████████     | 182/198 [27:46<02:03,  7.71s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 184 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 92%|████████████████████████████████████████████████████████▍    | 183/198 [27:58<02:16,  9.10s/it] 93%|████████████████████████████████████████████████████████▋    | 184/198 [28:09<02:14,  9.61s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 186 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 93%|████████████████████████████████████████████████████████▉    | 185/198 [28:19<02:07,  9.78s/it] 94%|█████████████████████████████████████████████████████████▎   | 186/198 [28:47<03:02, 15.24s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 188 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 94%|█████████████████████████████████████████████████████████▌   | 187/198 [29:00<02:39, 14.54s/it] 95%|█████████████████████████████████████████████████████████▉   | 188/198 [29:04<01:55, 11.56s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 190 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 95%|██████████████████████████████████████████████████████████▏  | 189/198 [29:23<02:03, 13.69s/it] 96%|██████████████████████████████████████████████████████████▌  | 190/198 [29:30<01:33, 11.70s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 192 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 96%|██████████████████████████████████████████████████████████▊  | 191/198 [29:39<01:16, 11.00s/it] 97%|███████████████████████████████████████████████████████████▏ | 192/198 [29:46<00:58,  9.77s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 194 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 97%|███████████████████████████████████████████████████████████▍ | 193/198 [30:05<01:02, 12.44s/it] 98%|███████████████████████████████████████████████████████████▊ | 194/198 [30:12<00:43, 10.89s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 196 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 98%|████████████████████████████████████████████████████████████ | 195/198 [30:21<00:30, 10.10s/it] 99%|████████████████████████████████████████████████████████████▍| 196/198 [30:33<00:21, 10.86s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 198 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 99%|████████████████████████████████████████████████████████████▋| 197/198 [30:42<00:10, 10.18s/it]100%|█████████████████████████████████████████████████████████████| 198/198 [30:50<00:00,  9.50s/it]100%|█████████████████████████████████████████████████████████████| 198/198 [30:50<00:00,  9.34s/it]
Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 200 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
Process ID: [2421854] | Exit
Process ID: [2421854] | Loading data from ./prompt_response/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 0 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
  0%|▎                                                              | 1/200 [00:09<30:52,  9.31s/it]  1%|▋                                                              | 2/200 [00:15<25:27,  7.72s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 2 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
  2%|▉                                                              | 3/200 [00:33<39:48, 12.13s/it]  2%|█▎                                                             | 4/200 [00:48<43:09, 13.21s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 4 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
  2%|█▌                                                             | 5/200 [00:56<37:06, 11.42s/it]  3%|█▉                                                             | 6/200 [01:07<36:18, 11.23s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 6 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
  4%|██▏                                                            | 7/200 [01:16<34:00, 10.57s/it]  4%|██▌                                                            | 8/200 [01:24<31:07,  9.72s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 8 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
  4%|██▊                                                            | 9/200 [01:34<31:50, 10.00s/it]  5%|███                                                           | 10/200 [01:50<37:06, 11.72s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 10 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
  6%|███▍                                                          | 11/200 [01:51<26:59,  8.57s/it]  6%|███▋                                                          | 12/200 [02:00<26:27,  8.44s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 12 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
  6%|████                                                          | 13/200 [02:09<26:45,  8.58s/it]  7%|████▎                                                         | 14/200 [02:18<27:07,  8.75s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 14 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
  8%|████▋                                                         | 15/200 [02:29<29:28,  9.56s/it]  8%|████▉                                                         | 16/200 [02:59<48:17, 15.75s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 16 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
  8%|█████▎                                                        | 17/200 [03:13<45:49, 15.03s/it]  9%|█████▌                                                        | 18/200 [03:24<42:37, 14.05s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 18 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 10%|█████▉                                                        | 19/200 [03:26<30:50, 10.22s/it] 10%|██████▏                                                       | 20/200 [03:38<32:47, 10.93s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 20 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 10%|██████▌                                                       | 21/200 [03:47<30:59, 10.39s/it] 11%|██████▊                                                       | 22/200 [03:57<29:51, 10.06s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 22 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 12%|███████▏                                                      | 23/200 [04:14<35:54, 12.17s/it] 12%|███████▍                                                      | 24/200 [04:25<34:34, 11.79s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 24 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 12%|███████▊                                                      | 25/200 [04:33<30:59, 10.63s/it] 13%|████████                                                      | 26/200 [04:40<28:26,  9.81s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 26 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 14%|████████▎                                                     | 27/200 [04:51<28:55, 10.03s/it] 14%|████████▋                                                     | 28/200 [05:00<28:04,  9.80s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 28 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 14%|████████▉                                                     | 29/200 [05:10<27:50,  9.77s/it] 15%|█████████▎                                                    | 30/200 [05:20<27:48,  9.82s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 30 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 16%|█████████▌                                                    | 31/200 [05:31<28:21, 10.07s/it] 16%|█████████▉                                                    | 32/200 [05:36<24:18,  8.68s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 32 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 16%|██████████▏                                                   | 33/200 [05:45<24:00,  8.63s/it] 17%|██████████▌                                                   | 34/200 [05:53<23:55,  8.65s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 34 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 18%|██████████▊                                                   | 35/200 [06:01<23:16,  8.46s/it] 18%|███████████▏                                                  | 36/200 [06:15<27:45, 10.16s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 36 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 18%|███████████▍                                                  | 37/200 [06:23<25:44,  9.48s/it] 19%|███████████▊                                                  | 38/200 [06:32<24:52,  9.21s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 38 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 20%|████████████                                                  | 39/200 [06:44<27:16, 10.17s/it] 20%|████████████▍                                                 | 40/200 [06:58<29:37, 11.11s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 40 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 20%|████████████▋                                                 | 41/200 [07:09<30:04, 11.35s/it] 21%|█████████████                                                 | 42/200 [07:18<27:36, 10.48s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 42 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 22%|█████████████▎                                                | 43/200 [07:25<25:08,  9.61s/it] 22%|█████████████▋                                                | 44/200 [07:35<24:47,  9.53s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 44 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 22%|█████████████▉                                                | 45/200 [07:45<24:56,  9.65s/it] 23%|██████████████▎                                               | 46/200 [07:46<18:11,  7.09s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 46 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 24%|██████████████▌                                               | 47/200 [07:56<20:01,  7.85s/it] 24%|██████████████▉                                               | 48/200 [07:56<14:31,  5.74s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 48 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 24%|███████████████▏                                              | 49/200 [08:06<17:06,  6.80s/it] 25%|███████████████▌                                              | 50/200 [08:17<20:07,  8.05s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 50 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 26%|███████████████▊                                              | 51/200 [08:25<20:31,  8.26s/it] 26%|████████████████                                              | 52/200 [08:38<23:31,  9.54s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 52 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 26%|████████████████▍                                             | 53/200 [08:50<24:56, 10.18s/it] 27%|████████████████▋                                             | 54/200 [08:59<24:09,  9.92s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 54 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 28%|█████████████████                                             | 55/200 [09:08<23:45,  9.83s/it] 28%|█████████████████▎                                            | 56/200 [09:09<17:02,  7.10s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 56 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 28%|█████████████████▋                                            | 57/200 [09:44<36:31, 15.32s/it] 29%|█████████████████▉                                            | 58/200 [09:55<33:38, 14.21s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 58 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 30%|██████████████████▎                                           | 59/200 [10:03<28:57, 12.33s/it] 30%|██████████████████▌                                           | 60/200 [10:10<24:33, 10.52s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 60 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 30%|██████████████████▉                                           | 61/200 [10:16<21:28,  9.27s/it] 31%|███████████████████▏                                          | 62/200 [10:28<23:10, 10.08s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 62 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 32%|███████████████████▌                                          | 63/200 [10:39<23:31, 10.30s/it] 32%|███████████████████▊                                          | 64/200 [10:48<22:45, 10.04s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 64 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 32%|████████████████████▏                                         | 65/200 [11:00<23:57, 10.65s/it] 33%|████████████████████▍                                         | 66/200 [11:14<26:05, 11.68s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 66 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 34%|████████████████████▊                                         | 67/200 [11:23<23:39, 10.67s/it] 34%|█████████████████████                                         | 68/200 [11:31<21:52,  9.94s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 68 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 34%|█████████████████████▍                                        | 69/200 [11:41<21:43,  9.95s/it] 35%|█████████████████████▋                                        | 70/200 [11:53<23:14, 10.73s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 70 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 36%|██████████████████████                                        | 71/200 [12:02<21:25,  9.97s/it] 36%|██████████████████████▎                                       | 72/200 [12:09<19:39,  9.21s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 72 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 36%|██████████████████████▋                                       | 73/200 [12:19<20:03,  9.48s/it] 37%|██████████████████████▉                                       | 74/200 [12:20<14:33,  6.94s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 74 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 38%|███████████████████████▎                                      | 75/200 [12:28<15:06,  7.26s/it] 38%|███████████████████████▌                                      | 76/200 [12:42<19:20,  9.36s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 76 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 38%|███████████████████████▊                                      | 77/200 [12:54<20:17,  9.90s/it] 39%|████████████████████████▏                                     | 78/200 [13:00<18:06,  8.91s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 78 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 40%|████████████████████████▍                                     | 79/200 [13:18<23:34, 11.69s/it] 40%|████████████████████████▊                                     | 80/200 [13:32<24:36, 12.30s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 80 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 40%|█████████████████████████                                     | 81/200 [13:40<22:04, 11.13s/it] 41%|█████████████████████████▍                                    | 82/200 [13:49<20:29, 10.42s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 82 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 42%|█████████████████████████▋                                    | 83/200 [13:50<14:56,  7.67s/it] 42%|██████████████████████████                                    | 84/200 [13:56<13:30,  6.99s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 84 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 42%|██████████████████████████▎                                   | 85/200 [14:02<12:55,  6.74s/it] 43%|██████████████████████████▋                                   | 86/200 [14:08<12:29,  6.58s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 86 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 44%|██████████████████████████▉                                   | 87/200 [14:16<13:08,  6.98s/it] 44%|███████████████████████████▎                                  | 88/200 [14:24<13:34,  7.27s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 88 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 44%|███████████████████████████▌                                  | 89/200 [14:25<10:06,  5.47s/it] 45%|███████████████████████████▉                                  | 90/200 [14:34<11:52,  6.48s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 90 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 46%|████████████████████████████▏                                 | 91/200 [14:47<15:07,  8.33s/it] 46%|████████████████████████████▌                                 | 92/200 [14:57<16:09,  8.98s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 92 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 46%|████████████████████████████▊                                 | 93/200 [15:03<14:22,  8.06s/it] 47%|█████████████████████████████▏                                | 94/200 [15:12<14:31,  8.22s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 94 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 48%|█████████████████████████████▍                                | 95/200 [15:28<18:31, 10.59s/it] 48%|█████████████████████████████▊                                | 96/200 [15:41<19:31, 11.27s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 96 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 48%|██████████████████████████████                                | 97/200 [15:52<19:20, 11.27s/it] 49%|██████████████████████████████▍                               | 98/200 [16:03<19:10, 11.28s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 98 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 50%|██████████████████████████████▋                               | 99/200 [16:10<16:51, 10.01s/it] 50%|██████████████████████████████▌                              | 100/200 [16:40<26:39, 16.00s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 100 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 50%|██████████████████████████████▊                              | 101/200 [16:48<22:20, 13.54s/it] 51%|███████████████████████████████                              | 102/200 [17:00<21:28, 13.15s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 102 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 52%|███████████████████████████████▍                             | 103/200 [17:14<21:23, 13.23s/it] 52%|███████████████████████████████▋                             | 104/200 [17:15<15:16,  9.54s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 104 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 52%|████████████████████████████████                             | 105/200 [17:25<15:36,  9.85s/it] 53%|████████████████████████████████▎                            | 106/200 [17:39<17:06, 10.92s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 106 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 54%|████████████████████████████████▋                            | 107/200 [17:49<16:33, 10.68s/it] 54%|████████████████████████████████▉                            | 108/200 [17:58<15:39, 10.21s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 108 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 55%|█████████████████████████████████▏                           | 109/200 [18:10<16:05, 10.61s/it] 55%|█████████████████████████████████▌                           | 110/200 [18:29<19:50, 13.23s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 110 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 56%|█████████████████████████████████▊                           | 111/200 [18:39<18:10, 12.25s/it] 56%|██████████████████████████████████▏                          | 112/200 [18:49<17:11, 11.72s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 112 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 56%|██████████████████████████████████▍                          | 113/200 [19:04<18:03, 12.45s/it] 57%|██████████████████████████████████▊                          | 114/200 [19:16<17:55, 12.51s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 114 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 57%|███████████████████████████████████                          | 115/200 [19:26<16:30, 11.66s/it] 58%|███████████████████████████████████▍                         | 116/200 [19:35<15:16, 10.91s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 116 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 58%|███████████████████████████████████▋                         | 117/200 [19:48<15:52, 11.48s/it] 59%|███████████████████████████████████▉                         | 118/200 [19:56<14:29, 10.60s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 118 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 60%|████████████████████████████████████▎                        | 119/200 [20:04<13:11,  9.78s/it] 60%|████████████████████████████████████▌                        | 120/200 [20:14<12:56,  9.70s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 120 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 60%|████████████████████████████████████▉                        | 121/200 [20:22<12:15,  9.31s/it] 61%|█████████████████████████████████████▏                       | 122/200 [20:32<12:13,  9.41s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 122 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
