Process ID: [2421852] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2421852] | Loading data from ./prompt_response/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2421852] | Loading exist data from ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json | Total 0
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:16<55:44, 16.81s/it]  1%|▋                                                              | 2/200 [00:23<35:31, 10.77s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 78%|███████████████████████████████████████████████▎             | 155/200 [27:04<06:54,  9.21s/it] 78%|███████████████████████████████████████████████▌             | 156/200 [27:13<06:47,  9.27s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 156 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 78%|███████████████████████████████████████████████▉             | 157/200 [27:28<07:49, 10.92s/it] 79%|████████████████████████████████████████████████▏            | 158/200 [27:29<05:33,  7.94s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 158 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 80%|████████████████████████████████████████████████▍            | 159/200 [27:46<07:19, 10.73s/it] 80%|████████████████████████████████████████████████▊            | 160/200 [27:56<06:55, 10.39s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 160 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 80%|█████████████████████████████████████████████████            | 161/200 [28:08<07:03, 10.86s/it] 81%|█████████████████████████████████████████████████▍           | 162/200 [28:32<09:21, 14.78s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 162 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 82%|█████████████████████████████████████████████████▋           | 163/200 [28:40<07:58, 12.93s/it] 82%|██████████████████████████████████████████████████           | 164/200 [28:57<08:26, 14.06s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 164 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 82%|██████████████████████████████████████████████████▎          | 165/200 [29:12<08:23, 14.38s/it] 83%|██████████████████████████████████████████████████▋          | 166/200 [29:23<07:32, 13.32s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 166 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [29:35<07:05, 12.88s/it] 84%|███████████████████████████████████████████████████▏         | 168/200 [29:45<06:28, 12.14s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 168 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [30:03<07:10, 13.90s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [30:12<06:09, 12.33s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 170 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [30:22<05:39, 11.71s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [30:42<06:33, 14.06s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 172 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 86%|████████████████████████████████████████████████████▊        | 173/200 [30:58<06:36, 14.67s/it] 87%|█████████████████████████████████████████████████████        | 174/200 [31:06<05:27, 12.61s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 174 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 88%|█████████████████████████████████████████████████████▍       | 175/200 [31:16<04:58, 11.93s/it] 88%|█████████████████████████████████████████████████████▋       | 176/200 [31:18<03:31,  8.81s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 176 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 88%|█████████████████████████████████████████████████████▉       | 177/200 [31:23<02:57,  7.72s/it] 89%|██████████████████████████████████████████████████████▎      | 178/200 [31:34<03:15,  8.88s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 178 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 90%|██████████████████████████████████████████████████████▌      | 179/200 [31:40<02:45,  7.86s/it] 90%|██████████████████████████████████████████████████████▉      | 180/200 [31:53<03:06,  9.34s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 180 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 90%|███████████████████████████████████████████████████████▏     | 181/200 [32:01<02:52,  9.06s/it] 91%|███████████████████████████████████████████████████████▌     | 182/200 [32:08<02:31,  8.43s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 182 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 92%|███████████████████████████████████████████████████████▊     | 183/200 [32:09<01:44,  6.14s/it] 92%|████████████████████████████████████████████████████████     | 184/200 [32:25<02:25,  9.12s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 184 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 92%|████████████████████████████████████████████████████████▍    | 185/200 [32:37<02:32, 10.15s/it] 93%|████████████████████████████████████████████████████████▋    | 186/200 [32:51<02:35, 11.13s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 186 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 94%|█████████████████████████████████████████████████████████    | 187/200 [33:01<02:20, 10.80s/it] 94%|█████████████████████████████████████████████████████████▎   | 188/200 [33:16<02:25, 12.12s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 188 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 94%|█████████████████████████████████████████████████████████▋   | 189/200 [33:26<02:05, 11.36s/it] 95%|█████████████████████████████████████████████████████████▉   | 190/200 [33:33<01:41, 10.19s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 190 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 96%|██████████████████████████████████████████████████████████▎  | 191/200 [33:42<01:28,  9.81s/it] 96%|██████████████████████████████████████████████████████████▌  | 192/200 [33:56<01:28, 11.03s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 192 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [34:12<01:26, 12.42s/it] 97%|███████████████████████████████████████████████████████████▏ | 194/200 [34:19<01:05, 10.94s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 194 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 98%|███████████████████████████████████████████████████████████▍ | 195/200 [34:26<00:48,  9.63s/it] 98%|███████████████████████████████████████████████████████████▊ | 196/200 [34:36<00:39,  9.91s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 196 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 98%|████████████████████████████████████████████████████████████ | 197/200 [34:43<00:26,  8.95s/it] 99%|████████████████████████████████████████████████████████████▍| 198/200 [34:49<00:16,  8.21s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 198 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
100%|████████████████████████████████████████████████████████████▋| 199/200 [35:02<00:09,  9.38s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [35:08<00:00,  8.58s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [35:08<00:00, 10.54s/it]
Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 200 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
Process ID: [2421852] | Exit
Process ID: [2421852] | Loading data from ./prompt_response/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 0 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
  0%|▎                                                              | 1/200 [00:10<33:11, 10.01s/it]  1%|▋                                                              | 2/200 [00:16<25:57,  7.86s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 2 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
  2%|▉                                                              | 3/200 [00:28<31:42,  9.66s/it]  2%|█▎                                                             | 4/200 [00:39<33:44, 10.33s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 4 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
  2%|█▌                                                             | 5/200 [00:48<32:06,  9.88s/it]  3%|█▉                                                             | 6/200 [00:56<30:00,  9.28s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 6 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
  4%|██▏                                                            | 7/200 [01:05<29:43,  9.24s/it]  4%|██▌                                                            | 8/200 [01:14<29:10,  9.12s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 8 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
  4%|██▊                                                            | 9/200 [01:21<26:24,  8.29s/it]  5%|███                                                           | 10/200 [01:39<36:29, 11.52s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 10 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
  6%|███▍                                                          | 11/200 [01:55<40:38, 12.90s/it]  6%|███▋                                                          | 12/200 [02:06<37:49, 12.07s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 12 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
  6%|████                                                          | 13/200 [02:17<36:48, 11.81s/it]  7%|████▎                                                         | 14/200 [02:31<38:36, 12.45s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 14 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
  8%|████▋                                                         | 15/200 [02:43<38:27, 12.47s/it]  8%|████▉                                                         | 16/200 [03:00<41:40, 13.59s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 16 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
  8%|█████▎                                                        | 17/200 [03:07<35:58, 11.79s/it]  9%|█████▌                                                        | 18/200 [03:15<31:59, 10.55s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 18 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 10%|█████▉                                                        | 19/200 [03:30<36:07, 11.98s/it] 10%|██████▏                                                       | 20/200 [03:39<33:08, 11.05s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 20 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 10%|██████▌                                                       | 21/200 [03:49<31:57, 10.71s/it] 11%|██████▊                                                       | 22/200 [04:00<31:43, 10.69s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 22 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 12%|███████▏                                                      | 23/200 [04:12<33:01, 11.19s/it] 12%|███████▍                                                      | 24/200 [04:19<29:33, 10.07s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 24 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 12%|███████▊                                                      | 25/200 [04:21<21:40,  7.43s/it] 13%|████████                                                      | 26/200 [04:32<24:39,  8.50s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 26 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 14%|████████▎                                                     | 27/200 [04:40<24:07,  8.37s/it] 14%|████████▋                                                     | 28/200 [04:49<24:29,  8.54s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 28 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 14%|████████▉                                                     | 29/200 [04:58<25:01,  8.78s/it] 15%|█████████▎                                                    | 30/200 [05:14<31:07, 10.98s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 30 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 16%|█████████▌                                                    | 31/200 [05:31<35:34, 12.63s/it] 16%|█████████▉                                                    | 32/200 [05:46<37:56, 13.55s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 32 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 16%|██████████▏                                                   | 33/200 [05:53<32:19, 11.61s/it] 17%|██████████▌                                                   | 34/200 [06:00<28:17, 10.23s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 34 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 18%|██████████▊                                                   | 35/200 [06:14<30:58, 11.27s/it] 18%|███████████▏                                                  | 36/200 [06:27<31:49, 11.65s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 36 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 18%|███████████▍                                                  | 37/200 [06:33<27:08,  9.99s/it] 19%|███████████▊                                                  | 38/200 [06:43<27:14, 10.09s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 38 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 20%|████████████                                                  | 39/200 [06:52<26:29,  9.87s/it] 20%|████████████▍                                                 | 40/200 [07:04<27:21, 10.26s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 40 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 20%|████████████▋                                                 | 41/200 [07:15<27:49, 10.50s/it] 21%|█████████████                                                 | 42/200 [07:24<27:03, 10.28s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 42 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 22%|█████████████▎                                                | 43/200 [07:38<29:35, 11.31s/it] 22%|█████████████▋                                                | 44/200 [07:52<31:09, 11.99s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 44 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 22%|█████████████▉                                                | 45/200 [08:01<29:17, 11.34s/it] 23%|██████████████▎                                               | 46/200 [08:12<28:22, 11.06s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 46 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 24%|██████████████▌                                               | 47/200 [08:26<30:49, 12.09s/it] 24%|██████████████▉                                               | 48/200 [08:42<33:13, 13.12s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 48 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 24%|███████████████▏                                              | 49/200 [08:49<28:13, 11.21s/it] 25%|███████████████▌                                              | 50/200 [08:58<26:42, 10.68s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 50 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 26%|███████████████▊                                              | 51/200 [09:10<27:43, 11.16s/it] 26%|████████████████                                              | 52/200 [09:23<28:48, 11.68s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 52 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 26%|████████████████▍                                             | 53/200 [09:25<21:35,  8.82s/it] 27%|████████████████▋                                             | 54/200 [09:35<21:38,  8.90s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 54 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 28%|█████████████████                                             | 55/200 [09:44<22:03,  9.13s/it] 28%|█████████████████▎                                            | 56/200 [09:56<23:53,  9.96s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 56 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 28%|█████████████████▋                                            | 57/200 [10:02<20:38,  8.66s/it] 29%|█████████████████▉                                            | 58/200 [10:15<23:46, 10.05s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 58 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 30%|██████████████████▎                                           | 59/200 [10:27<25:15, 10.75s/it] 30%|██████████████████▌                                           | 60/200 [10:37<24:26, 10.48s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 60 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 30%|██████████████████▉                                           | 61/200 [10:49<24:56, 10.77s/it] 31%|███████████████████▏                                          | 62/200 [11:04<28:03, 12.20s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 62 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 32%|███████████████████▌                                          | 63/200 [11:14<26:12, 11.48s/it] 32%|███████████████████▊                                          | 64/200 [11:24<25:11, 11.12s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 64 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 32%|████████████████████▏                                         | 65/200 [11:35<24:29, 10.89s/it] 33%|████████████████████▍                                         | 66/200 [11:45<23:46, 10.64s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 66 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 34%|████████████████████▊                                         | 67/200 [11:54<22:33, 10.18s/it] 34%|█████████████████████                                         | 68/200 [12:03<21:33,  9.80s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 68 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 34%|█████████████████████▍                                        | 69/200 [12:08<18:27,  8.46s/it] 35%|█████████████████████▋                                        | 70/200 [12:17<18:51,  8.70s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 70 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 36%|██████████████████████                                        | 71/200 [12:26<18:31,  8.61s/it] 36%|██████████████████████▎                                       | 72/200 [12:27<13:24,  6.28s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 72 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 36%|██████████████████████▋                                       | 73/200 [12:36<15:05,  7.13s/it] 37%|██████████████████████▉                                       | 74/200 [12:51<20:25,  9.73s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 74 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 38%|███████████████████████▎                                      | 75/200 [13:10<26:03, 12.50s/it] 38%|███████████████████████▌                                      | 76/200 [13:22<25:23, 12.28s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 76 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 38%|███████████████████████▊                                      | 77/200 [13:44<31:04, 15.16s/it] 39%|████████████████████████▏                                     | 78/200 [13:51<25:58, 12.77s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 78 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 40%|████████████████████████▍                                     | 79/200 [14:03<25:22, 12.58s/it] 40%|████████████████████████▊                                     | 80/200 [14:11<22:18, 11.15s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 80 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 40%|█████████████████████████                                     | 81/200 [14:19<20:21, 10.27s/it] 41%|█████████████████████████▍                                    | 82/200 [14:20<14:39,  7.45s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 82 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 42%|█████████████████████████▋                                    | 83/200 [14:35<18:37,  9.55s/it] 42%|██████████████████████████                                    | 84/200 [14:51<22:30, 11.64s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 84 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 42%|██████████████████████████▎                                   | 85/200 [15:01<21:14, 11.08s/it] 43%|██████████████████████████▋                                   | 86/200 [15:10<19:56, 10.50s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 86 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 44%|██████████████████████████▉                                   | 87/200 [15:16<17:19,  9.20s/it] 44%|███████████████████████████▎                                  | 88/200 [15:34<21:45, 11.66s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 88 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 44%|███████████████████████████▌                                  | 89/200 [15:45<21:36, 11.68s/it] 45%|███████████████████████████▉                                  | 90/200 [16:01<23:30, 12.83s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 90 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 46%|████████████████████████████▏                                 | 91/200 [16:11<21:38, 11.91s/it] 46%|████████████████████████████▌                                 | 92/200 [16:16<17:41,  9.83s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 92 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 46%|████████████████████████████▊                                 | 93/200 [16:33<21:29, 12.05s/it] 47%|█████████████████████████████▏                                | 94/200 [16:43<19:58, 11.31s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 94 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 48%|█████████████████████████████▍                                | 95/200 [16:49<17:21,  9.92s/it] 48%|█████████████████████████████▊                                | 96/200 [17:07<21:26, 12.37s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 96 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 48%|██████████████████████████████                                | 97/200 [17:25<23:43, 13.82s/it] 49%|██████████████████████████████▍                               | 98/200 [17:38<23:03, 13.57s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 98 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 50%|██████████████████████████████▋                               | 99/200 [17:44<19:17, 11.46s/it] 50%|██████████████████████████████▌                              | 100/200 [17:54<18:14, 10.95s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 100 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 50%|██████████████████████████████▊                              | 101/200 [18:02<16:34, 10.05s/it] 51%|███████████████████████████████                              | 102/200 [18:10<15:30,  9.50s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 102 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 52%|███████████████████████████████▍                             | 103/200 [18:29<20:08, 12.46s/it] 52%|███████████████████████████████▋                             | 104/200 [18:38<17:52, 11.18s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 104 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 52%|████████████████████████████████                             | 105/200 [18:53<19:48, 12.51s/it] 53%|████████████████████████████████▎                            | 106/200 [18:55<14:31,  9.27s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 106 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 54%|████████████████████████████████▋                            | 107/200 [19:04<14:12,  9.17s/it] 54%|████████████████████████████████▉                            | 108/200 [19:10<12:42,  8.29s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 108 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 55%|█████████████████████████████████▏                           | 109/200 [19:22<14:07,  9.31s/it] 55%|█████████████████████████████████▌                           | 110/200 [19:30<13:27,  8.97s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 110 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 56%|█████████████████████████████████▊                           | 111/200 [19:37<12:32,  8.46s/it] 56%|██████████████████████████████████▏                          | 112/200 [19:47<12:49,  8.75s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 112 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 56%|██████████████████████████████████▍                          | 113/200 [20:18<22:45, 15.70s/it] 57%|██████████████████████████████████▊                          | 114/200 [20:25<18:32, 12.94s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 114 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
