Process ID: [2421856] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/model_detailed/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2421856] | Loading data from ./prompt_response/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2421856] | Loading exist data from ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 14
  0%|                                                                       | 0/186 [00:00<?, ?it/s]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 14 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  1%|▎                                                              | 1/186 [00:13<40:14, 13.05s/it]  1%|▋                                                              | 2/186 [00:22<32:37, 10.64s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 16 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 84%|███████████████████████████████████████████████████▍         | 157/186 [24:47<03:37,  7.51s/it] 85%|███████████████████████████████████████████████████▊         | 158/186 [24:58<04:00,  8.60s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 172 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 85%|████████████████████████████████████████████████████▏        | 159/186 [25:10<04:19,  9.60s/it] 86%|████████████████████████████████████████████████████▍        | 160/186 [25:18<04:00,  9.24s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 174 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 87%|████████████████████████████████████████████████████▊        | 161/186 [25:28<03:54,  9.38s/it] 87%|█████████████████████████████████████████████████████▏       | 162/186 [25:34<03:24,  8.51s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 176 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 88%|█████████████████████████████████████████████████████▍       | 163/186 [25:55<04:43, 12.34s/it] 88%|█████████████████████████████████████████████████████▊       | 164/186 [26:01<03:49, 10.43s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 178 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 89%|██████████████████████████████████████████████████████       | 165/186 [26:07<03:07,  8.92s/it] 89%|██████████████████████████████████████████████████████▍      | 166/186 [26:17<03:03,  9.20s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 180 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 90%|██████████████████████████████████████████████████████▊      | 167/186 [26:33<03:34, 11.30s/it] 90%|███████████████████████████████████████████████████████      | 168/186 [26:45<03:26, 11.48s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 182 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 91%|███████████████████████████████████████████████████████▍     | 169/186 [26:48<02:32,  8.97s/it] 91%|███████████████████████████████████████████████████████▊     | 170/186 [26:57<02:23,  8.95s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 184 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 92%|████████████████████████████████████████████████████████     | 171/186 [27:10<02:33, 10.21s/it] 92%|████████████████████████████████████████████████████████▍    | 172/186 [27:22<02:29, 10.67s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 186 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 93%|████████████████████████████████████████████████████████▋    | 173/186 [27:28<02:00,  9.28s/it] 94%|█████████████████████████████████████████████████████████    | 174/186 [27:36<01:46,  8.84s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 188 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 94%|█████████████████████████████████████████████████████████▍   | 175/186 [27:45<01:40,  9.12s/it] 95%|█████████████████████████████████████████████████████████▋   | 176/186 [27:55<01:32,  9.26s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 190 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 95%|██████████████████████████████████████████████████████████   | 177/186 [28:04<01:23,  9.31s/it] 96%|██████████████████████████████████████████████████████████▍  | 178/186 [28:09<01:02,  7.83s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 192 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 96%|██████████████████████████████████████████████████████████▋  | 179/186 [28:16<00:53,  7.65s/it] 97%|███████████████████████████████████████████████████████████  | 180/186 [28:31<00:58,  9.83s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 194 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 97%|███████████████████████████████████████████████████████████▎ | 181/186 [28:38<00:44,  8.87s/it] 98%|███████████████████████████████████████████████████████████▋ | 182/186 [28:48<00:37,  9.35s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 196 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 98%|████████████████████████████████████████████████████████████ | 183/186 [28:57<00:27,  9.31s/it] 99%|████████████████████████████████████████████████████████████▎| 184/186 [29:07<00:18,  9.42s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 198 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 99%|████████████████████████████████████████████████████████████▋| 185/186 [29:24<00:11, 11.63s/it]100%|█████████████████████████████████████████████████████████████| 186/186 [29:37<00:00, 12.06s/it]100%|█████████████████████████████████████████████████████████████| 186/186 [29:37<00:00,  9.55s/it]
Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 200 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
Process ID: [2421856] | Exit
Process ID: [2421856] | Loading data from ./prompt_response/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 0 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
  0%|▎                                                              | 1/200 [00:11<37:44, 11.38s/it]  1%|▋                                                              | 2/200 [00:17<27:42,  8.40s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 2 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
  2%|▉                                                              | 3/200 [00:25<26:44,  8.15s/it]  2%|█▎                                                             | 4/200 [00:36<30:13,  9.25s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 4 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
  2%|█▌                                                             | 5/200 [00:44<28:26,  8.75s/it]  3%|█▉                                                             | 6/200 [00:56<32:09,  9.95s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 6 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
  4%|██▏                                                            | 7/200 [01:02<27:59,  8.70s/it]  4%|██▌                                                            | 8/200 [01:18<35:04, 10.96s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 8 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
  4%|██▊                                                            | 9/200 [01:28<34:10, 10.73s/it]  5%|███                                                           | 10/200 [01:42<36:51, 11.64s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 10 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
  6%|███▍                                                          | 11/200 [01:54<36:36, 11.62s/it]  6%|███▋                                                          | 12/200 [02:03<34:45, 11.10s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 12 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
  6%|████                                                          | 13/200 [02:12<32:22, 10.39s/it]  7%|████▎                                                         | 14/200 [02:19<29:03,  9.37s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 14 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
  8%|████▋                                                         | 15/200 [02:28<28:32,  9.26s/it]  8%|████▉                                                         | 16/200 [02:36<27:16,  8.90s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 16 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
  8%|█████▎                                                        | 17/200 [02:47<29:08,  9.56s/it]  9%|█████▌                                                        | 18/200 [03:03<34:43, 11.45s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 18 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 10%|█████▉                                                        | 19/200 [03:13<33:22, 11.06s/it] 10%|██████▏                                                       | 20/200 [03:21<30:31, 10.17s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 20 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 10%|██████▌                                                       | 21/200 [03:40<37:32, 12.59s/it] 11%|██████▊                                                       | 22/200 [03:53<38:00, 12.81s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 22 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 12%|███████▏                                                      | 23/200 [04:06<37:57, 12.87s/it] 12%|███████▍                                                      | 24/200 [04:17<35:49, 12.21s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 24 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 12%|███████▊                                                      | 25/200 [04:26<33:03, 11.33s/it] 13%|████████                                                      | 26/200 [04:35<30:28, 10.51s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 26 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 14%|████████▎                                                     | 27/200 [04:40<25:35,  8.88s/it] 14%|████████▋                                                     | 28/200 [04:44<21:28,  7.49s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 28 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 14%|████████▉                                                     | 29/200 [04:54<23:46,  8.34s/it] 15%|█████████▎                                                    | 30/200 [05:10<29:32, 10.43s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 30 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 16%|█████████▌                                                    | 31/200 [05:28<36:27, 12.94s/it] 16%|█████████▉                                                    | 32/200 [05:38<33:28, 11.96s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 32 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 16%|██████████▏                                                   | 33/200 [05:45<28:51, 10.37s/it] 17%|██████████▌                                                   | 34/200 [05:54<27:34,  9.97s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 34 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 18%|██████████▊                                                   | 35/200 [06:01<24:56,  9.07s/it] 18%|███████████▏                                                  | 36/200 [06:09<23:56,  8.76s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 36 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 18%|███████████▍                                                  | 37/200 [06:18<24:36,  9.06s/it] 19%|███████████▊                                                  | 38/200 [06:25<22:45,  8.43s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 38 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 20%|████████████                                                  | 39/200 [06:31<19:57,  7.44s/it] 20%|████████████▍                                                 | 40/200 [06:39<21:02,  7.89s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 40 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 20%|████████████▋                                                 | 41/200 [06:47<20:50,  7.87s/it] 21%|█████████████                                                 | 42/200 [07:00<24:29,  9.30s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 42 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 22%|█████████████▎                                                | 43/200 [07:28<38:43, 14.80s/it] 22%|█████████████▋                                                | 44/200 [07:37<34:26, 13.25s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 44 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 22%|█████████████▉                                                | 45/200 [07:51<34:51, 13.49s/it] 23%|██████████████▎                                               | 46/200 [08:03<33:36, 13.09s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 46 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 24%|██████████████▌                                               | 47/200 [08:12<29:48, 11.69s/it] 24%|██████████████▉                                               | 48/200 [08:31<35:22, 13.96s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 48 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 24%|███████████████▏                                              | 49/200 [08:39<30:36, 12.16s/it] 25%|███████████████▌                                              | 50/200 [08:51<29:53, 11.96s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 50 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 26%|███████████████▊                                              | 51/200 [08:57<25:31, 10.28s/it] 26%|████████████████                                              | 52/200 [09:07<25:26, 10.31s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 52 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 26%|████████████████▍                                             | 53/200 [09:19<26:00, 10.62s/it] 27%|████████████████▋                                             | 54/200 [09:30<26:18, 10.81s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 54 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 28%|█████████████████                                             | 55/200 [09:40<25:37, 10.60s/it] 28%|█████████████████▎                                            | 56/200 [09:54<28:01, 11.68s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 56 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 28%|█████████████████▋                                            | 57/200 [10:01<24:15, 10.18s/it] 29%|█████████████████▉                                            | 58/200 [10:07<21:26,  9.06s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 58 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 30%|██████████████████▎                                           | 59/200 [10:18<22:13,  9.46s/it] 30%|██████████████████▌                                           | 60/200 [10:26<21:19,  9.14s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 60 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 30%|██████████████████▉                                           | 61/200 [10:37<22:30,  9.72s/it] 31%|███████████████████▏                                          | 62/200 [10:39<16:46,  7.29s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 62 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 32%|███████████████████▌                                          | 63/200 [10:44<15:21,  6.72s/it] 32%|███████████████████▊                                          | 64/200 [10:55<17:57,  7.93s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 64 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 32%|████████████████████▏                                         | 65/200 [11:02<17:11,  7.64s/it] 33%|████████████████████▍                                         | 66/200 [11:11<18:04,  8.09s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 66 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 34%|████████████████████▊                                         | 67/200 [11:20<18:49,  8.49s/it] 34%|█████████████████████                                         | 68/200 [11:27<17:06,  7.78s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 68 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
Error: HTTP code 502 from API (<html>
<head><title>502 Bad Gateway</title></head>
<body>
<center><h1>502 Bad Gateway</h1></center>
<hr><center>cloudflare</center>
</body>
</html>
)
Retrying...
 34%|█████████████████████▍                                        | 69/200 [11:52<28:44, 13.16s/it] 35%|█████████████████████▋                                        | 70/200 [12:03<27:10, 12.54s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 70 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 36%|██████████████████████                                        | 71/200 [12:15<26:14, 12.21s/it] 36%|██████████████████████▎                                       | 72/200 [12:26<25:19, 11.87s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 72 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 36%|██████████████████████▋                                       | 73/200 [12:32<21:36, 10.21s/it] 37%|██████████████████████▉                                       | 74/200 [12:39<19:29,  9.28s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 74 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 38%|███████████████████████▎                                      | 75/200 [12:50<20:07,  9.66s/it] 38%|███████████████████████▌                                      | 76/200 [13:05<23:27, 11.35s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 76 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 38%|███████████████████████▊                                      | 77/200 [13:13<20:59, 10.24s/it] 39%|████████████████████████▏                                     | 78/200 [13:18<17:48,  8.75s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 78 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 40%|████████████████████████▍                                     | 79/200 [13:29<19:03,  9.45s/it] 40%|████████████████████████▊                                     | 80/200 [13:36<17:05,  8.54s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 80 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 40%|█████████████████████████                                     | 81/200 [13:44<16:47,  8.47s/it] 41%|█████████████████████████▍                                    | 82/200 [13:58<20:08, 10.24s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 82 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 42%|█████████████████████████▋                                    | 83/200 [14:07<19:18,  9.90s/it] 42%|██████████████████████████                                    | 84/200 [14:18<19:40, 10.18s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 84 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 42%|██████████████████████████▎                                   | 85/200 [14:28<19:16, 10.05s/it] 43%|██████████████████████████▋                                   | 86/200 [14:38<18:55,  9.96s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 86 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 44%|██████████████████████████▉                                   | 87/200 [14:45<17:17,  9.18s/it] 44%|███████████████████████████▎                                  | 88/200 [14:53<16:08,  8.65s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 88 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 44%|███████████████████████████▌                                  | 89/200 [15:00<15:11,  8.21s/it] 45%|███████████████████████████▉                                  | 90/200 [15:05<13:24,  7.32s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 90 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 46%|████████████████████████████▏                                 | 91/200 [15:15<14:55,  8.22s/it] 46%|████████████████████████████▌                                 | 92/200 [15:27<16:43,  9.29s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 92 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 46%|████████████████████████████▊                                 | 93/200 [15:38<17:33,  9.84s/it] 47%|█████████████████████████████▏                                | 94/200 [15:51<19:11, 10.87s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 94 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 48%|█████████████████████████████▍                                | 95/200 [15:59<17:18,  9.89s/it] 48%|█████████████████████████████▊                                | 96/200 [16:10<17:50, 10.29s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 96 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 48%|██████████████████████████████                                | 97/200 [16:18<16:11,  9.43s/it] 49%|██████████████████████████████▍                               | 98/200 [16:34<19:41, 11.58s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 98 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 50%|██████████████████████████████▋                               | 99/200 [16:43<17:48, 10.58s/it] 50%|██████████████████████████████▌                              | 100/200 [16:57<19:46, 11.87s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 100 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 50%|██████████████████████████████▊                              | 101/200 [17:09<19:33, 11.85s/it] 51%|███████████████████████████████                              | 102/200 [17:22<19:44, 12.09s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 102 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 52%|███████████████████████████████▍                             | 103/200 [17:42<23:33, 14.57s/it] 52%|███████████████████████████████▋                             | 104/200 [17:51<20:25, 12.77s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 104 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 52%|████████████████████████████████                             | 105/200 [18:00<18:32, 11.71s/it] 53%|████████████████████████████████▎                            | 106/200 [18:19<21:40, 13.83s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 106 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 54%|████████████████████████████████▋                            | 107/200 [18:36<22:58, 14.82s/it] 54%|████████████████████████████████▉                            | 108/200 [18:47<21:08, 13.79s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 108 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 55%|█████████████████████████████████▏                           | 109/200 [19:01<20:54, 13.79s/it] 55%|█████████████████████████████████▌                           | 110/200 [19:10<18:36, 12.40s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 110 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 56%|█████████████████████████████████▊                           | 111/200 [19:19<16:43, 11.27s/it] 56%|██████████████████████████████████▏                          | 112/200 [19:28<15:29, 10.56s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 112 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 56%|██████████████████████████████████▍                          | 113/200 [19:40<15:48, 10.90s/it] 57%|██████████████████████████████████▊                          | 114/200 [19:52<16:07, 11.25s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 114 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 57%|███████████████████████████████████                          | 115/200 [20:05<16:54, 11.94s/it] 58%|███████████████████████████████████▍                         | 116/200 [20:23<19:09, 13.69s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 116 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 58%|███████████████████████████████████▋                         | 117/200 [20:40<20:26, 14.78s/it] 59%|███████████████████████████████████▉                         | 118/200 [20:51<18:38, 13.64s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 118 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 60%|████████████████████████████████████▎                        | 119/200 [21:00<16:31, 12.24s/it] 60%|████████████████████████████████████▌                        | 120/200 [21:01<11:51,  8.89s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 120 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 60%|████████████████████████████████████▉                        | 121/200 [21:19<15:03, 11.44s/it] 61%|█████████████████████████████████████▏                       | 122/200 [21:33<15:53, 12.23s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 122 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 62%|█████████████████████████████████████▌                       | 123/200 [21:45<15:44, 12.26s/it] 62%|█████████████████████████████████████▊                       | 124/200 [21:51<13:00, 10.27s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 124 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 62%|██████████████████████████████████████▏                      | 125/200 [22:02<13:21, 10.69s/it] 63%|██████████████████████████████████████▍                      | 126/200 [22:10<12:13,  9.91s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 126 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 64%|██████████████████████████████████████▋                      | 127/200 [22:19<11:43,  9.63s/it] 64%|███████████████████████████████████████                      | 128/200 [23:06<24:48, 20.68s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 128 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 64%|███████████████████████████████████████▎                     | 129/200 [23:23<23:17, 19.69s/it] 65%|███████████████████████████████████████▋                     | 130/200 [23:28<17:52, 15.32s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 130 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 66%|███████████████████████████████████████▉                     | 131/200 [23:45<17:56, 15.60s/it] 66%|████████████████████████████████████████▎                    | 132/200 [23:52<14:47, 13.05s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 132 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
