Process ID: [2342247] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./ir_response_pure/response-10/llama-2-7b-chat-hf
    save_dir: ./fact/response-10/llama-2-7b-chat-hf
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2342247] | Loading data from ./ir_response_pure/response-10/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:10<34:20, 10.35s/it]  1%|▋                                                              | 2/200 [00:17<27:20,  8.28s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [23:20<03:02,  5.88s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [23:34<04:11,  8.38s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 170 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [23:36<03:07,  6.46s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [23:45<03:23,  7.25s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 172 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 86%|████████████████████████████████████████████████████▊        | 173/200 [23:56<03:41,  8.21s/it] 87%|█████████████████████████████████████████████████████        | 174/200 [24:01<03:08,  7.23s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 174 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 88%|█████████████████████████████████████████████████████▍       | 175/200 [24:08<03:02,  7.28s/it] 88%|█████████████████████████████████████████████████████▋       | 176/200 [24:12<02:27,  6.14s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 176 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 88%|█████████████████████████████████████████████████████▉       | 177/200 [24:28<03:27,  9.04s/it] 89%|██████████████████████████████████████████████████████▎      | 178/200 [24:34<03:03,  8.33s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 178 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 90%|██████████████████████████████████████████████████████▌      | 179/200 [24:44<03:02,  8.69s/it] 90%|██████████████████████████████████████████████████████▉      | 180/200 [24:45<02:07,  6.38s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 180 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 90%|███████████████████████████████████████████████████████▏     | 181/200 [24:51<02:01,  6.38s/it] 91%|███████████████████████████████████████████████████████▌     | 182/200 [25:01<02:14,  7.48s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 182 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 92%|███████████████████████████████████████████████████████▊     | 183/200 [25:17<02:49,  9.95s/it] 92%|████████████████████████████████████████████████████████     | 184/200 [25:24<02:24,  9.06s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 184 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 92%|████████████████████████████████████████████████████████▍    | 185/200 [25:37<02:33, 10.24s/it] 93%|████████████████████████████████████████████████████████▋    | 186/200 [25:46<02:18,  9.88s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 186 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 94%|█████████████████████████████████████████████████████████    | 187/200 [25:47<01:33,  7.19s/it] 94%|█████████████████████████████████████████████████████████▎   | 188/200 [26:00<01:48,  9.07s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 188 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 94%|█████████████████████████████████████████████████████████▋   | 189/200 [26:08<01:35,  8.73s/it] 95%|█████████████████████████████████████████████████████████▉   | 190/200 [26:20<01:36,  9.65s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 190 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 96%|██████████████████████████████████████████████████████████▎  | 191/200 [26:26<01:16,  8.50s/it] 96%|██████████████████████████████████████████████████████████▌  | 192/200 [26:34<01:06,  8.32s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 192 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [26:35<00:42,  6.07s/it] 97%|███████████████████████████████████████████████████████████▏ | 194/200 [26:45<00:44,  7.39s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 194 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 98%|███████████████████████████████████████████████████████████▍ | 195/200 [26:49<00:32,  6.48s/it] 98%|███████████████████████████████████████████████████████████▊ | 196/200 [26:56<00:26,  6.57s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 196 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 98%|████████████████████████████████████████████████████████████ | 197/200 [27:05<00:21,  7.11s/it] 99%|████████████████████████████████████████████████████████████▍| 198/200 [27:09<00:12,  6.38s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 198 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
100%|████████████████████████████████████████████████████████████▋| 199/200 [27:18<00:07,  7.04s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [27:27<00:00,  7.82s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [27:27<00:00,  8.24s/it]
Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 200 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
Process ID: [2342247] | Exit
Process ID: [2342247] | Loading data from ./ir_response_pure/response-10/llama-2-7b-chat-hf/Finance.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 0 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
  0%|▎                                                              | 1/200 [00:04<15:54,  4.79s/it]  1%|▋                                                              | 2/200 [00:10<17:22,  5.27s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 2 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
  2%|▉                                                              | 3/200 [00:16<18:26,  5.61s/it]  2%|█▎                                                             | 4/200 [00:24<21:37,  6.62s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 4 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
  2%|█▌                                                             | 5/200 [00:33<24:26,  7.52s/it]  3%|█▉                                                             | 6/200 [00:41<24:12,  7.49s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 6 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
  4%|██▏                                                            | 7/200 [00:42<17:22,  5.40s/it]  4%|██▌                                                            | 8/200 [00:51<21:41,  6.78s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 8 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
  4%|██▊                                                            | 9/200 [00:59<22:24,  7.04s/it]  5%|███                                                           | 10/200 [01:07<23:03,  7.28s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 10 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
  6%|███▍                                                          | 11/200 [01:15<24:03,  7.64s/it]  6%|███▋                                                          | 12/200 [01:21<21:41,  6.92s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 12 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
  6%|████                                                          | 13/200 [01:27<20:44,  6.66s/it]  7%|████▎                                                         | 14/200 [01:34<21:32,  6.95s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 14 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
  8%|████▋                                                         | 15/200 [01:39<19:40,  6.38s/it]  8%|████▉                                                         | 16/200 [01:44<17:44,  5.79s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 16 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
  8%|█████▎                                                        | 17/200 [01:54<22:07,  7.25s/it]  9%|█████▌                                                        | 18/200 [02:03<23:34,  7.77s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 18 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 10%|█████▉                                                        | 19/200 [02:15<26:52,  8.91s/it] 10%|██████▏                                                       | 20/200 [02:26<29:03,  9.68s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 20 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 10%|██████▌                                                       | 21/200 [02:34<27:09,  9.10s/it] 11%|██████▊                                                       | 22/200 [02:42<25:56,  8.74s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 22 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 12%|███████▏                                                      | 23/200 [02:49<24:27,  8.29s/it] 12%|███████▍                                                      | 24/200 [02:58<25:02,  8.53s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 24 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 12%|███████▊                                                      | 25/200 [03:03<21:35,  7.40s/it] 13%|████████                                                      | 26/200 [03:09<19:49,  6.83s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 26 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 14%|████████▎                                                     | 27/200 [03:16<20:18,  7.04s/it] 14%|████████▋                                                     | 28/200 [03:22<19:18,  6.74s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 28 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 14%|████████▉                                                     | 29/200 [03:34<23:05,  8.11s/it] 15%|█████████▎                                                    | 30/200 [03:49<28:56, 10.21s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 30 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 16%|█████████▌                                                    | 31/200 [03:54<24:35,  8.73s/it] 16%|█████████▉                                                    | 32/200 [04:00<21:53,  7.82s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 32 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 16%|██████████▏                                                   | 33/200 [04:04<18:52,  6.78s/it] 17%|██████████▌                                                   | 34/200 [04:09<17:10,  6.21s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 34 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 18%|██████████▊                                                   | 35/200 [04:15<16:36,  6.04s/it] 18%|███████████▏                                                  | 36/200 [04:20<15:49,  5.79s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 36 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 18%|███████████▍                                                  | 37/200 [04:26<16:00,  5.89s/it] 19%|███████████▊                                                  | 38/200 [04:33<17:03,  6.32s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 38 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 20%|████████████                                                  | 39/200 [04:45<21:36,  8.05s/it] 20%|████████████▍                                                 | 40/200 [04:52<20:37,  7.73s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 40 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 20%|████████████▋                                                 | 41/200 [04:58<18:48,  7.10s/it] 21%|█████████████                                                 | 42/200 [05:03<17:14,  6.55s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 42 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 22%|█████████████▎                                                | 43/200 [05:09<16:47,  6.42s/it] 22%|█████████████▋                                                | 44/200 [05:18<18:16,  7.03s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 44 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 22%|█████████████▉                                                | 45/200 [05:27<19:57,  7.72s/it] 23%|██████████████▎                                               | 46/200 [05:38<22:00,  8.57s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 46 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 24%|██████████████▌                                               | 47/200 [05:45<21:00,  8.24s/it] 24%|██████████████▉                                               | 48/200 [05:52<19:56,  7.87s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 48 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 24%|███████████████▏                                              | 49/200 [05:57<17:13,  6.84s/it] 25%|███████████████▌                                              | 50/200 [05:58<13:04,  5.23s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 50 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 26%|███████████████▊                                              | 51/200 [06:07<16:01,  6.45s/it] 26%|████████████████                                              | 52/200 [06:13<15:17,  6.20s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 52 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 26%|████████████████▍                                             | 53/200 [06:23<18:18,  7.47s/it] 27%|████████████████▋                                             | 54/200 [06:31<18:18,  7.52s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 54 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 28%|█████████████████                                             | 55/200 [06:38<17:42,  7.33s/it] 28%|█████████████████▎                                            | 56/200 [06:47<19:02,  7.93s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 56 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 28%|█████████████████▋                                            | 57/200 [06:57<19:57,  8.37s/it] 29%|█████████████████▉                                            | 58/200 [07:04<18:50,  7.96s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 58 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 30%|██████████████████▎                                           | 59/200 [07:17<22:17,  9.48s/it] 30%|██████████████████▌                                           | 60/200 [07:23<19:35,  8.40s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 60 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 30%|██████████████████▉                                           | 61/200 [07:33<21:09,  9.14s/it] 31%|███████████████████▏                                          | 62/200 [07:39<18:26,  8.02s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 62 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 32%|███████████████████▌                                          | 63/200 [07:43<15:58,  7.00s/it] 32%|███████████████████▊                                          | 64/200 [07:50<15:24,  6.80s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 64 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 32%|████████████████████▏                                         | 65/200 [07:59<16:43,  7.44s/it] 33%|████████████████████▍                                         | 66/200 [08:04<15:12,  6.81s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 66 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 34%|████████████████████▊                                         | 67/200 [08:08<13:17,  5.99s/it] 34%|█████████████████████                                         | 68/200 [08:13<12:21,  5.61s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 68 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 34%|█████████████████████▍                                        | 69/200 [08:21<13:46,  6.31s/it] 35%|█████████████████████▋                                        | 70/200 [08:32<16:57,  7.83s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 70 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 36%|██████████████████████                                        | 71/200 [08:38<15:50,  7.37s/it] 36%|██████████████████████▎                                       | 72/200 [08:43<13:52,  6.51s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 72 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 36%|██████████████████████▋                                       | 73/200 [08:48<12:42,  6.01s/it] 37%|██████████████████████▉                                       | 74/200 [08:49<09:34,  4.56s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 74 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 38%|███████████████████████▎                                      | 75/200 [08:54<09:54,  4.76s/it] 38%|███████████████████████▌                                      | 76/200 [09:02<11:25,  5.53s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 76 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 38%|███████████████████████▊                                      | 77/200 [09:08<12:13,  5.97s/it] 39%|████████████████████████▏                                     | 78/200 [09:15<12:38,  6.22s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 78 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 40%|████████████████████████▍                                     | 79/200 [09:21<12:28,  6.18s/it] 40%|████████████████████████▊                                     | 80/200 [09:26<11:29,  5.75s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 80 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 40%|█████████████████████████                                     | 81/200 [09:34<12:30,  6.31s/it] 41%|█████████████████████████▍                                    | 82/200 [09:38<11:17,  5.74s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 82 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 42%|█████████████████████████▋                                    | 83/200 [09:57<18:34,  9.53s/it] 42%|██████████████████████████                                    | 84/200 [10:03<16:44,  8.66s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 84 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 42%|██████████████████████████▎                                   | 85/200 [10:08<14:35,  7.61s/it] 43%|██████████████████████████▋                                   | 86/200 [10:13<12:58,  6.83s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 86 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 44%|██████████████████████████▉                                   | 87/200 [10:18<11:22,  6.04s/it] 44%|███████████████████████████▎                                  | 88/200 [10:26<12:48,  6.86s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 88 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 44%|███████████████████████████▌                                  | 89/200 [10:31<11:23,  6.16s/it] 45%|███████████████████████████▉                                  | 90/200 [10:35<10:17,  5.61s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 90 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 46%|████████████████████████████▏                                 | 91/200 [10:43<11:12,  6.17s/it] 46%|████████████████████████████▌                                 | 92/200 [10:50<11:53,  6.61s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 92 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 46%|████████████████████████████▊                                 | 93/200 [11:01<13:44,  7.71s/it] 47%|█████████████████████████████▏                                | 94/200 [11:06<12:37,  7.15s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 94 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 48%|█████████████████████████████▍                                | 95/200 [11:11<10:59,  6.28s/it] 48%|█████████████████████████████▊                                | 96/200 [11:17<11:04,  6.38s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 96 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 48%|██████████████████████████████                                | 97/200 [11:25<11:53,  6.93s/it] 49%|██████████████████████████████▍                               | 98/200 [11:36<13:48,  8.12s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 98 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 50%|██████████████████████████████▋                               | 99/200 [11:44<13:38,  8.11s/it] 50%|██████████████████████████████▌                              | 100/200 [11:48<11:23,  6.84s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 100 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 50%|██████████████████████████████▊                              | 101/200 [11:53<10:00,  6.07s/it] 51%|███████████████████████████████                              | 102/200 [11:58<09:33,  5.85s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 102 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 52%|███████████████████████████████▍                             | 103/200 [12:05<10:08,  6.28s/it] 52%|███████████████████████████████▋                             | 104/200 [12:13<10:37,  6.64s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 104 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 52%|████████████████████████████████                             | 105/200 [12:22<11:42,  7.39s/it] 53%|████████████████████████████████▎                            | 106/200 [12:28<10:47,  6.89s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 106 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 54%|████████████████████████████████▋                            | 107/200 [12:35<10:42,  6.90s/it] 54%|████████████████████████████████▉                            | 108/200 [12:44<11:49,  7.71s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 108 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 55%|█████████████████████████████████▏                           | 109/200 [12:51<11:21,  7.49s/it] 55%|█████████████████████████████████▌                           | 110/200 [13:04<13:41,  9.13s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 110 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 56%|█████████████████████████████████▊                           | 111/200 [13:12<13:02,  8.79s/it] 56%|██████████████████████████████████▏                          | 112/200 [13:31<17:16, 11.78s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 112 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 56%|██████████████████████████████████▍                          | 113/200 [13:39<15:32, 10.72s/it] 57%|██████████████████████████████████▊                          | 114/200 [13:45<13:17,  9.27s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 114 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 57%|███████████████████████████████████                          | 115/200 [13:56<13:59,  9.87s/it] 58%|███████████████████████████████████▍                         | 116/200 [14:07<14:01, 10.02s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 116 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 58%|███████████████████████████████████▋                         | 117/200 [14:15<13:06,  9.48s/it] 59%|███████████████████████████████████▉                         | 118/200 [14:23<12:19,  9.02s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 118 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 60%|████████████████████████████████████▎                        | 119/200 [14:28<10:45,  7.97s/it] 60%|████████████████████████████████████▌                        | 120/200 [14:39<11:40,  8.76s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 120 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 60%|████████████████████████████████████▉                        | 121/200 [14:46<10:56,  8.31s/it] 61%|█████████████████████████████████████▏                       | 122/200 [14:54<10:32,  8.11s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 122 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 62%|█████████████████████████████████████▌                       | 123/200 [15:03<10:43,  8.35s/it] 62%|█████████████████████████████████████▊                       | 124/200 [15:08<09:26,  7.45s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 124 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 62%|██████████████████████████████████████▏                      | 125/200 [15:18<10:21,  8.29s/it] 63%|██████████████████████████████████████▍                      | 126/200 [15:27<10:34,  8.57s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 126 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 64%|██████████████████████████████████████▋                      | 127/200 [15:37<10:38,  8.75s/it] 64%|███████████████████████████████████████                      | 128/200 [15:43<09:45,  8.14s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 128 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 64%|███████████████████████████████████████▎                     | 129/200 [15:51<09:22,  7.92s/it] 65%|███████████████████████████████████████▋                     | 130/200 [15:59<09:18,  7.98s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 130 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 66%|███████████████████████████████████████▉                     | 131/200 [16:07<09:06,  7.92s/it] 66%|████████████████████████████████████████▎                    | 132/200 [16:15<09:09,  8.08s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 132 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 66%|████████████████████████████████████████▌                    | 133/200 [16:24<09:16,  8.31s/it] 67%|████████████████████████████████████████▊                    | 134/200 [16:31<08:42,  7.92s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 134 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 68%|█████████████████████████████████████████▏                   | 135/200 [16:40<09:01,  8.33s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [16:47<08:27,  7.93s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 136 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 68%|█████████████████████████████████████████▊                   | 137/200 [16:55<08:17,  7.89s/it] 69%|██████████████████████████████████████████                   | 138/200 [17:12<10:56, 10.58s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 138 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 70%|██████████████████████████████████████████▍                  | 139/200 [17:20<09:58,  9.81s/it] 70%|██████████████████████████████████████████▋                  | 140/200 [17:28<09:12,  9.22s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 140 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 70%|███████████████████████████████████████████                  | 141/200 [17:36<08:39,  8.80s/it] 71%|███████████████████████████████████████████▎                 | 142/200 [17:42<07:43,  7.99s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 142 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 72%|███████████████████████████████████████████▌                 | 143/200 [17:51<08:06,  8.54s/it] 72%|███████████████████████████████████████████▉                 | 144/200 [17:59<07:46,  8.33s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 144 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
